                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2020


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   77.9  101.5  16:17   55.4  06:29    0.0   12.9   0.00    4.8   22.0  13:10    353
 02   78.3  103.7  16:23   55.4  06:26    0.0   13.3   0.00    4.3   19.0  20:43    353
 03   78.3  102.3  15:32   56.9  06:32    0.0   13.3   0.00    5.3   23.0  21:08    347
 04   69.8   90.9  13:22   53.5  06:09    0.0    4.8   0.00    3.2   22.0  15:10    202
 05   65.7   84.2  14:08   56.2  23:58    0.0    0.7   0.00    2.9   24.0  16:04    202
 06   63.8   75.4  14:37   51.2  03:37    1.2    0.0   0.00    3.5   24.0  16:33    193
 07   64.6   79.4  11:45   52.0  06:52    0.4    0.0   0.00    4.9   26.0  16:47    193
 08   68.6   87.3  12:55   51.7  06:34    0.0    3.6   0.00    4.3   30.0  15:39    195
 09   71.9   95.8  12:42   55.4  06:44    0.0    6.9   0.00    3.4   26.0  16:18    189
 10   70.3   88.7  11:31   55.2  06:35    0.0    5.3   0.00    4.4   31.0  17:03    192
 11   69.8   90.1  14:12   52.1  06:50    0.0    4.8   0.00    3.9   25.0  15:16    191
 12   73.5   96.0  13:25   53.4  06:52    0.0    8.5   0.00    3.3   23.0  15:01    197
 13   65.6   70.6  19:07   60.3  05:28    0.0    0.6   0.10    1.1   13.0  12:12    240
 14   80.6  105.6  13:37   61.2  06:12    0.0   15.6   0.00    3.7   26.0  16:56    203
 15   82.5  106.3  18:33   64.3  06:45    0.0   17.5   0.00    1.2   15.0  12:31      4
 16   86.8  112.8  15:43   69.2  06:28    0.0   21.8   0.00    2.3   20.0  16:05    240
 17   87.3  108.2  14:43   69.8  06:11    0.0   22.3   0.00    2.2   19.0  14:55    314
 18   89.0  108.2  14:19   70.6  07:03    0.0   24.0   0.00    4.4   25.0  21:26    352
 19   84.4   99.8  14:52   71.5  06:48    0.0   19.4   0.00    4.6   19.0  16:53    355
 20   78.4   97.2  15:52   63.5  07:10    0.0   13.4   0.00    4.1   18.0  17:38    347
 21   78.9   99.5  15:37   61.3  06:49    0.0   13.9   0.00    4.7   15.0  16:51    357
 22   78.2   94.4  12:55   65.9  06:45    0.0   13.2   0.00    4.2   25.0  15:00    199
 23   74.1   86.3  11:25   62.1  06:55    0.0    9.1   0.00    3.5   25.0  15:44    195
 24   74.1   89.5  12:37   63.5  06:59    0.0    9.1   0.00    3.6   26.0  16:12    193
 25   71.0   86.6  13:16   60.5  06:49    0.0    6.0   0.00    3.3   20.0  16:20    181
 26   73.3   96.1  14:36   58.3  06:53    0.0    8.3   0.00    3.0   19.0  15:06      4
 27   65.8   88.5  13:25   52.3  05:29    0.0    0.8   0.00    3.4   21.0  17:13    184
 28   66.5   90.7  13:07   50.0  06:58    0.0    1.5   0.00    3.6   27.0  15:38    195
 29   67.9   89.7  12:52   51.5  06:44    0.0    2.9   0.00    3.2   30.0  15:42    193
 30   67.6   94.1  13:20   49.7  06:21    0.0    2.6   0.00    2.0   21.0  15:22    182
 31   66.6   84.4  14:59   52.0  05:59    0.0    1.6   0.00    3.6   23.0  16:15    192
---------------------------------------------------------------------------------------
      73.9  112.8     16   49.7     30    1.6  277.7   0.10    3.5   31.0     10    219
    
