                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2021


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   45.2   59.8  13:35   32.5  07:35   19.8    0.0   0.00    1.3    8.0  05:34    351
 02   47.8   63.0  15:04   34.4  07:09   17.2    0.0   0.00    1.4    9.0  15:53    173
 03   53.6   65.4  15:26   47.5  03:58   11.4    0.0   0.00    1.8   11.0  10:13    348
 04   50.9   61.7  12:03   39.9  07:05   14.1    0.0   0.00    3.3   16.0  11:32    186
 05   50.3   62.7  15:11   42.9  04:42   14.7    0.0   0.00    3.6   17.0  11:26    348
 06   47.2   62.8  15:21   35.3  07:29   17.8    0.0   0.00    0.3   11.0  15:41    341
 07   45.9   60.6  13:50   35.8  04:23   19.1    0.0   0.00    0.4   14.0  13:19     39
 08   48.1   67.7  15:23   34.7  05:51   16.9    0.0   0.01    0.3   13.0  15:29     17
 09   49.0   59.9  14:31   40.5  01:25   16.0    0.0   0.00    0.7   17.0  11:18     43
 10   47.8   65.2  15:34   34.3  06:42   17.2    0.0   0.00    0.4   13.0  14:03     21
 11   47.5   65.6  15:12   33.6  06:58   17.5    0.0   0.00    0.1   10.0  11:09     25
 12   44.9   63.6  16:16   32.0  07:29   20.1    0.0   0.00    0.0    6.0  16:22     22
 13   50.4   69.1  15:11   36.4  06:47   14.6    0.0   0.00    0.2   10.0  11:20     26
 14   54.4   72.1  14:26   40.1  06:20   10.6    0.0   0.00    0.6   12.0  10:04     40
 15   56.0   79.4  15:00   38.8  07:06    9.0    0.0   0.00    0.1   12.0  18:01     60
 16   57.5   76.0  14:29   43.2  07:30    7.5    0.0   0.00    0.2   10.0  12:01     27
 17   56.5   76.0  14:51   42.8  07:46    8.5    0.0   0.00    0.4   11.0  15:22     29
 18   53.0   74.0  15:29   37.9  06:42   12.0    0.0   0.00    0.3   11.0  14:16     32
 19   50.9   64.2  15:00   36.4  02:51   14.1    0.0   0.00    1.4   25.0  11:19     44
 20   49.8   70.5  14:52   33.3  07:29   15.2    0.0   0.00    0.5   18.0  13:05     40
 21   48.0   72.3  13:51   29.9  07:25   17.0    0.0   0.00    0.6   16.0  13:33    195
 22   48.4   56.3  13:37   42.6  05:57   16.6    0.0   0.02    1.4   19.0  15:44    223
 23   44.6   55.0  15:34   35.2  23:59   20.4    0.0   0.02    0.4   13.0  12:42      8
 24   41.8   51.3  15:50   33.2  02:28   23.2    0.0   0.11    0.1   11.0  23:42    197
 25   41.9   51.3  14:13   31.6  23:46   23.1    0.0   0.01    1.6   21.0  10:08    324
 26   39.4   53.0  13:40   25.7  06:24   25.6    0.0   0.11    4.0   22.0  21:48    179
 27   48.3   52.4  22:29   43.8  00:02   16.7    0.0   1.93    9.4   36.0  05:21    169
 28   47.7   51.5  00:00   43.3  23:59   17.3    0.0   3.47    0.7   31.0  00:42    185
 29   45.7   54.5  15:03   38.3  23:55   19.3    0.0   0.35    1.5   11.0  11:07    193
 30   44.2   59.4  14:21   33.7  07:28   20.8    0.0   0.00    1.3   10.0  16:18    187
 31   47.3   63.6  15:04   34.4  07:15   17.7    0.0   0.00    1.1    9.0  15:53    187
---------------------------------------------------------------------------------------
      48.5   79.4     15   25.7     26  511.0    0.0   6.03    1.3   36.0     27    169
    
