                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2021


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   48.7   68.7  13:22   31.2  06:09   16.3    0.0   0.00    3.0   22.0  14:31    208
 02   47.9   71.4  13:49   30.7  06:23   17.1    0.0   0.00    2.3   22.0  14:44    200
 03   47.2   59.8  12:14   37.3  05:54   17.8    0.0   0.00    4.0   22.0  13:58    206
 04   47.8   69.7  14:34   31.7  06:44   17.2    0.0   0.00    3.5   25.0  17:19    197
 05   49.2   69.8  13:01   34.0  06:16   15.8    0.0   0.00    3.5   19.0  16:44    190
 06   52.5   61.6  16:15   46.0  23:31   12.5    0.0   0.00    4.4   20.0  08:21    338
 07   50.0   64.4  14:53   37.9  06:51   15.0    0.0   0.00    3.3   15.0  00:00    348
 08   48.2   62.1  13:56   38.8  03:59   16.8    0.0   0.00    1.1   19.0  15:40    191
 09   45.4   58.8  11:50   33.7  06:39   19.6    0.0   0.16    1.1   17.0  11:58    205
 10   43.5   50.8  11:54   38.3  22:52   21.5    0.0   0.36    1.0   20.0  11:54    195
 11   41.6   54.4  12:37   32.5  06:45   23.4    0.0   0.04    0.2   16.0  14:22    157
 12   46.3   61.1  13:36   35.0  00:57   18.7    0.0   0.01    0.3   11.0  15:34    204
 13   48.0   62.3  13:34   38.0  02:29   17.0    0.0   0.00    1.0   19.0  16:27    178
 14   47.9   57.7  15:14   42.2  00:08   17.1    0.0   0.00    3.9   20.0  17:03    202
 15   45.7   52.6  16:57   37.7  23:59   19.3    0.0   0.09    5.5   29.0  13:53    298
 16   44.2   60.4  16:41   29.6  07:04   20.8    0.0   0.00    1.9   18.0  16:42    208
 17   45.8   59.5  14:52   32.7  07:13   19.2    0.0   0.00    3.3   22.0  15:52    196
 18   51.6   65.6  13:51   39.5  07:34   13.4    0.0   0.00    3.8   24.0  16:46    190
 19   55.4   67.1  12:28   49.7  23:57    9.6    0.0   0.13    2.8   22.0  13:23    213
 20   49.7   60.5  16:09   39.1  07:14   15.3    0.0   0.00    5.0   21.0  10:53    336
 21   51.3   66.6  16:30   38.1  08:02   13.7    0.0   0.00    3.0   17.0  22:11    346
 22   51.5   68.6  16:52   39.5  05:37   13.5    0.0   0.00    1.5   17.0  17:50    341
 23   54.6   66.8  16:46   43.4  07:34   10.4    0.0   0.00    2.5   23.0  17:53    334
 24   53.1   71.2  16:19   34.2  07:10   11.9    0.0   0.00    0.7   15.0  16:37    136
 25   49.8   61.1  15:44   38.6  06:28   15.2    0.0   0.00    0.9   18.0  15:20    179
 26   50.9   69.0  17:07   37.1  04:38   14.1    0.0   0.00    0.4   12.0  12:14     23
 27   56.2   79.0  16:43   35.8  07:10    8.8    0.0   0.00    0.3   12.0  17:06    174
 28   60.5   83.9  16:36   38.7  07:02    4.5    0.0   0.00    0.4   13.0  17:06    161
 29   57.9   77.6  17:07   40.0  07:03    7.1    0.0   0.00    3.9   20.0  11:40    345
 30   59.0   80.9  16:34   38.2  07:03    6.0    0.0   0.00    1.7   14.0  14:16      3
 31   63.5   87.1  15:33   42.0  07:10    1.5    0.0   0.00    1.7   15.0  17:02    140
---------------------------------------------------------------------------------------
      50.5   87.1     31   29.6     16  450.2    0.0   0.79    2.3   29.0     15    250
    
