                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2021


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   61.8   86.0  15:29   38.4  07:32    3.2    0.0   0.00    2.4   20.0  16:26    211
 02   57.1   78.5  13:02   39.6  06:58    7.9    0.0   0.00    4.0   27.0  18:00    192
 03   49.5   65.1  13:21   40.9  06:31   15.5    0.0   0.00    4.0   20.0  12:39    193
 04   55.0   79.7  16:03   38.0  05:02   10.0    0.0   0.00    2.9   18.0  18:18    339
 05   55.1   73.3  15:05   44.3  04:05    9.9    0.0   0.00    4.3   18.0  15:21    335
 06   56.6   78.8  17:01   44.2  06:04    8.4    0.0   0.00    3.0   17.0  17:42    340
 07   56.7   76.3  16:55   42.7  06:21    8.3    0.0   0.00    3.7   17.0  17:28    338
 08   57.2   75.7  16:43   43.0  04:51    7.8    0.0   0.00    6.1   19.0  14:33    344
 09   57.2   78.5  16:42   41.1  06:42    7.8    0.0   0.00    3.1   22.0  19:17    355
 10   56.5   75.8  16:52   42.2  07:24    8.5    0.0   0.00    4.4   18.0  09:23    346
 11   58.0   79.4  16:51   42.4  06:27    7.0    0.0   0.00    2.1   14.0  06:15    357
 12   55.3   78.5  14:02   40.5  06:40    9.7    0.0   0.00    3.5   19.0  14:47    192
 13   49.3   59.2  16:28   44.3  03:22   15.7    0.0   0.00    3.0   23.0  17:35    193
 14   49.2   59.8  16:13   38.3  07:11   15.8    0.0   0.00    5.7   25.0  16:48    192
 15   54.0   72.3  14:37   38.9  03:48   11.0    0.0   0.00    3.0   20.0  16:30    216
 16   57.6   77.4  15:09   41.8  06:44    7.4    0.0   0.00    3.7   21.0  16:34    293
 17   60.1   81.4  14:40   42.5  04:22    4.9    0.0   0.00    1.3   17.0  15:41    342
 18   65.5   87.5  17:01   42.7  06:40    0.0    0.5   0.00    0.4   18.0  17:36      8
 19   63.2   86.7  15:12   42.8  06:35    1.8    0.0   0.00    0.9   14.0  15:40     16
 20   55.6   72.4  12:54   46.0  03:50    9.4    0.0   0.00    1.0   21.0  14:48    163
 21   51.6   59.0  14:56   48.0  23:00   13.4    0.0   0.00    3.6   25.0  17:47    189
 22   51.0   61.0  16:58   46.1  04:46   14.0    0.0   0.00    6.0   27.0  18:04    197
 23   50.0   58.8  13:26   45.5  23:08   15.0    0.0   0.00    5.5   30.0  15:13    199
 24   52.3   65.9  14:42   45.4  01:58   12.7    0.0   0.00    4.3   23.0  15:32    195
 25   50.2   58.3  15:00   43.8  03:50   14.8    0.0   0.00    3.1   18.0  12:45    198
 26   53.0   65.0  13:52   43.9  06:19   12.0    0.0   0.00    4.1   22.0  16:37    244
 27   55.7   69.8  14:06   38.4  06:17    9.3    0.0   0.00    4.1   20.0  15:13    309
 28   64.0   84.8  16:21   40.7  06:56    1.0    0.0   0.00    3.8   18.0  16:40    319
 29   69.1   92.9  15:20   44.9  06:14    0.0    4.1   0.00    2.8   15.0  16:18    351
 30   68.9   93.5  14:18   47.0  06:25    0.0    3.9   0.00    3.2   19.0  14:59    346
---------------------------------------------------------------------------------------
      56.6   93.5     30   38.0     04  262.2    8.5   0.00    3.4   30.0     23    237
    
