                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2021


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   61.9   83.0  15:38   47.9  05:21    3.1    0.0   0.00    7.9   31.0  19:18    335
 02   61.0   81.6  15:32   44.7  03:44    4.0    0.0   0.00    6.0   25.0  17:50    339
 03   66.5   88.1  17:35   44.5  06:41    0.0    1.5   0.00    3.2   15.0  19:47    342
 04   70.8   92.2  14:20   48.5  06:27    0.0    5.8   0.00    2.8   21.0  15:02    218
 05   67.9   88.4  12:21   51.3  06:25    0.0    2.9   0.00    4.2   27.0  15:11    202
 06   62.7   83.2  13:28   45.5  06:26    2.3    0.0   0.00    3.3   21.0  16:25    210
 07   61.2   79.3  14:06   46.5  04:53    3.8    0.0   0.00    4.8   23.0  14:44    309
 08   66.5   88.8  17:44   43.8  06:36    0.0    1.5   0.00    3.7   17.0  18:48    350
 09   68.4   86.7  13:47   47.4  06:22    0.0    3.4   0.00    4.5   23.0  14:20    311
 10   62.3   79.1  12:01   46.9  06:29    2.7    0.0   0.00    3.8   27.0  16:23    192
 11   65.0   89.0  13:01   45.8  06:12    0.0    0.0   0.00    2.7   20.0  14:29    183
 12   62.8   85.8  13:45   46.7  06:26    2.2    0.0   0.00    3.6   26.0  18:34    182
 13   60.2   85.2  12:59   45.2  05:13    4.8    0.0   0.00    2.8   23.0  14:49    179
 14   54.7   70.0  13:50   43.0  05:30   10.3    0.0   0.00    6.4   35.0  16:13    201
 15   51.6   58.9  15:22   48.3  06:31   13.4    0.0   0.00    6.4   29.0  16:53    195
 16   53.4   61.5  15:52   48.4  06:14   11.6    0.0   0.00    6.7   28.0  17:11    195
 17   57.8   72.0  15:18   49.5  05:04    7.2    0.0   0.00    4.2   20.0  12:32    198
 18   63.9   87.4  16:10   47.9  05:01    1.1    0.0   0.00    6.7   28.0  20:00    340
 19   59.7   79.2  14:15   46.6  05:49    5.3    0.0   0.00    6.1   24.0  18:44    337
 20   56.0   70.8  15:30   40.5  06:21    9.0    0.0   0.00    6.6   24.0  13:52    335
 21   51.6   64.1  11:40   38.3  06:25   13.4    0.0   0.00    3.4   25.0  16:41    189
 22   53.8   68.3  14:43   40.0  05:52   11.2    0.0   0.00    4.1   25.0  14:52    192
 23   57.6   75.1  13:51   40.3  05:52    7.4    0.0   0.00    4.0   24.0  15:39    234
 24   68.4   90.6  16:55   46.0  06:30    0.0    3.4   0.00    4.2   22.0  20:37    350
 25   68.1   85.9  14:18   52.4  06:10    0.0    3.1   0.00    6.5   23.0  20:51    345
 26   63.9   87.3  13:54   46.2  06:09    1.1    0.0   0.00    4.0   21.0  16:55    268
 27   63.8   88.1  16:24   45.1  06:15    1.2    0.0   0.00    5.0   21.0  19:49    347
 28   61.9   83.2  13:00   49.8  23:59    3.1    0.0   0.00    3.3   18.0  16:29    185
 29   57.3   72.9  12:33   46.4  03:57    7.7    0.0   0.00    4.8   29.0  15:48    204
 30   69.0   96.0  16:58   50.0  01:17    0.0    4.0   0.00    3.4   26.0  21:11    339
 31   70.9   86.5  11:47   55.9  05:47    0.0    5.9   0.00    2.7   20.0  14:35    180
---------------------------------------------------------------------------------------
      62.0   96.0     30   38.3     21  125.8   31.5   0.00    4.6   35.0     14    266
    
