                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2021


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   68.1   82.8  14:39   55.0  05:18    0.0    3.1   0.00    5.0   26.0  15:05    195
 02   68.1   87.9  14:29   54.0  06:04    0.0    3.1   0.00    4.4   25.0  18:52    190
 03   67.1   89.0  13:24   53.3  05:52    0.0    2.1   0.00    4.1   25.0  14:15    193
 04   63.6   83.0  13:35   50.1  06:31    1.4    0.0   0.00    4.8   27.0  15:53    190
 05   63.8   81.5  12:59   50.4  03:48    1.2    0.0   0.00    4.3   29.0  15:52    192
 06   71.8   96.7  16:33   51.0  05:24    0.0    6.8   0.00    5.2   27.0  17:50    344
 07   73.9   99.5  16:34   52.3  06:20    0.0    8.9   0.00    5.3   17.0  19:44    354
 08   77.8  100.5  13:48   57.0  05:42    0.0   12.8   0.00    4.6   26.0  16:45    199
 09   81.0   98.1  12:46   67.4  06:16    0.0   16.0   0.00    3.7   25.0  17:48    186
 10   87.2  111.4  14:31   64.7  05:50    0.0   22.2   0.00    2.2   18.0  15:37      6
 11   84.7  108.1  15:05   66.7  06:15    0.0   19.7   0.00    2.3   20.0  14:09    344
 12   74.5   98.5  13:26   57.9  06:23    0.0    9.5   0.00    2.8   24.0  14:50    174
 13   68.3   83.8  15:20   54.0  06:05    0.0    3.3   0.00    5.9   32.0  16:12    205
 14   65.1   78.5  12:47   52.4  06:00    0.0    0.1   0.00    5.6   29.0  16:08    201
 15   66.0   82.6  14:20   51.1  06:09    0.0    1.0   0.00    4.2   23.0  13:58    188
 16   65.2   84.5  14:03   49.4  05:06    0.0    0.2   0.00    4.8   30.0  16:39    195
 17   69.7   89.0  13:27   50.6  06:12    0.0    4.7   0.00    4.0   26.0  16:02    191
 18   74.0   92.2  12:21   55.6  06:18    0.0    9.0   0.00    3.5   23.0  14:54    194
 19   76.7   91.8  13:59   60.3  06:49    0.0   11.7   0.00    4.6   28.0  14:18    188
 20   77.1   99.6  14:01   58.1  06:08    0.0   12.1   0.00    3.8   20.0  19:36    352
 21   76.3  100.6  16:07   56.2  06:28    0.0   11.3   0.00    4.0   17.0  16:34    352
 22   70.5   94.0  13:07   55.9  06:16    0.0    5.5   0.00    3.1   25.0  15:32    191
 23   69.6   86.6  13:14   53.3  06:22    0.0    4.6   0.00    5.9   31.0  17:47    204
 24   69.5   87.6  13:17   52.0  06:15    0.0    4.5   0.00    5.6   32.0  17:35    195
 25   69.7   90.3  12:23   56.1  05:56    0.0    4.7   0.00    5.3   36.0  15:47    195
 26   69.1   82.9  12:46   57.1  05:30    0.0    4.1   0.00    3.2   21.0  14:59    191
 27   74.0   95.1  13:33   61.1  05:42    0.0    9.0   0.00    4.9   31.0  16:28    193
 28   72.5   93.9  12:33   58.1  04:41    0.0    7.5   0.00    3.8   27.0  15:55    191
 29   73.4  101.8  13:57   56.5  06:39    0.0    8.4   0.00    2.8   20.0  16:35    177
 30   71.4   91.2  13:15   59.8  06:34    0.0    6.4   0.00    5.5   33.0  17:24    192
 31   71.5   91.9  14:03   56.7  06:41    0.0    6.5   0.00    4.6   26.0  17:18    190
---------------------------------------------------------------------------------------
      72.0  111.4     10   49.4     16    2.7  218.9   0.00    4.3   36.0     25    198
    
