                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2021


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   67.5   83.5  12:53   52.8  06:25    0.0    2.5   0.00    5.4   31.0  15:57    194
 02   70.6   94.0  13:09   49.7  06:29    0.0    5.6   0.00    3.1   21.0  18:19    188
 03   73.4  103.5  14:33   52.7  06:27    0.0    8.4   0.00    2.1   16.0  15:20    172
 04   72.9   99.7  13:43   54.4  06:32    0.0    7.9   0.00    2.4   19.0  16:12    178
 05   71.6   97.3  15:30   53.4  05:49    0.0    6.6   0.00    4.7   22.0  21:22    353
 06   74.7  100.3  16:58   53.2  06:25    0.0    9.7   0.00    2.5   19.0  17:20    337
 07   73.2   92.9  12:53   57.4  06:46    0.0    8.2   0.00    4.4   26.0  17:03    198
 08   69.7   87.1  12:58   54.1  06:44    0.0    4.7   0.00    4.7   28.0  15:10    195
 09   70.0   87.5  13:09   53.3  06:47    0.0    5.0   0.00    5.2   30.0  15:39    191
 10   72.5   91.8  12:26   52.4  06:21    0.0    7.5   0.00    4.4   30.0  16:09    194
 11   75.9   95.5  14:00   58.5  06:36    0.0   10.9   0.00    4.1   28.0  15:56    190
 12   79.7   98.7  12:53   66.9  06:48    0.0   14.7   0.00    3.2   23.0  15:30    190
 13   75.9   95.5  13:16   60.1  06:28    0.0   10.9   0.00    3.0   24.0  15:00    197
 14   74.5   89.8  11:59   60.1  06:37    0.0    9.5   0.00    3.9   26.0  16:21    195
 15   80.3  106.5  16:07   59.4  07:00    0.0   15.3   0.00    3.0   17.0  17:13    355
 16   75.0   91.4  15:35   59.7  06:44    0.0   10.0   0.00    4.5   27.0  13:33    201
 17   66.8   82.5  13:15   57.2  23:57    0.0    1.8   0.00    6.5   34.0  16:05    198
 18   62.7   73.3  13:54   55.8  04:28    2.3    0.0   0.00    7.7   25.0  17:06    197
 19   66.4   81.8  15:07   57.1  06:13    0.0    1.4   0.00    1.9   17.0  19:17    148
 20   63.3   76.3  13:46   53.1  06:47    1.7    0.0   0.00    5.7   31.0  18:30    196
 21   62.5   71.8  15:13   55.3  03:16    2.5    0.0   0.00    6.4   24.0  15:02    196
 22   62.9   74.9  14:14   53.2  05:10    2.1    0.0   0.00    5.4   26.0  17:04    190
 23   62.8   75.1  14:39   51.9  06:50    2.2    0.0   0.00    5.8   28.0  16:36    196
 24   62.5   77.5  15:08   53.1  04:16    2.5    0.0   0.00    5.2   25.0  13:53    193
 25   66.2   88.0  14:44   50.3  04:59    0.0    1.2   0.00    2.7   19.0  15:43    191
 26   72.6   99.0  16:18   49.1  06:44    0.0    7.6   0.00    2.6   16.0  16:46    355
 27   78.2  105.8  16:24   54.5  06:53    0.0   13.2   0.00    1.8   10.0  15:13      0
 28   76.5   99.4  13:15   55.8  06:52    0.0   11.5   0.00    3.9   26.0  15:42    198
 29   75.9  103.8  14:19   56.2  06:56    0.0   10.9   0.00    2.7   27.0  16:59    190
 30   74.1  103.0  13:52   56.6  06:49    0.0    9.1   0.00    2.7   22.0  15:59    182
 31   66.2   78.2  12:07   56.3  06:58    0.0    1.2   0.00    1.9   22.0  13:06    171
---------------------------------------------------------------------------------------
      70.9  106.5     15   49.1     26   13.3  195.2   0.00    4.0   34.0     17    196
    
