                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2021


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   63.8   76.1  14:21   55.5  00:54    1.2    0.0   0.00    4.3   21.0  12:10    193
 02   61.8   74.7  13:51   52.5  04:15    3.2    0.0   0.00    3.5   28.0  14:42    196
 03   63.4   85.4  15:51   47.4  04:04    1.6    0.0   0.00    2.9   21.0  15:00    191
 04   67.7   94.6  14:21   47.1  06:05    0.0    2.7   0.00    2.3   22.0  15:48    189
 05   73.6  102.7  17:14   50.5  07:05    0.0    8.6   0.00    1.4   17.0  17:37    228
 06   80.4  108.5  16:52   57.0  06:38    0.0   15.4   0.00    1.9   13.0  17:07      4
 07   75.4   88.9  11:41   60.4  07:03    0.0   10.4   0.00    3.4   28.0  14:31    181
 08   75.8  102.5  14:12   58.9  06:58    0.0   10.8   0.00    2.4   24.0  15:03    183
 09   76.3   96.2  13:30   60.9  06:59    0.0   11.3   0.00    3.4   22.0  14:45    191
 10   76.0   95.3  14:22   62.4  07:40    0.0   11.0   0.00    3.3   18.0  16:57    345
 11   70.8   91.6  14:17   55.6  07:07    0.0    5.8   0.00    2.6   19.0  17:23    192
 12   71.5   98.0  14:47   52.2  07:15    0.0    6.5   0.00    2.1   19.0  16:04    195
 13   74.0   96.8  14:25   53.7  06:54    0.0    9.0   0.00    2.5   19.0  15:19    214
 14   68.5   86.3  12:48   52.2  07:06    0.0    3.5   0.00    5.1   32.0  16:31    199
 15   64.3   81.4  12:51   50.4  07:07    0.7    0.0   0.00    4.3   26.0  14:14    196
 16   58.7   73.9  13:42   49.0  06:02    6.3    0.0   0.00    5.6   29.0  13:55    193
 17   57.8   72.7  12:48   48.6  02:17    7.2    0.0   0.00    1.4   21.0  16:14    178
 18   61.0   75.8  14:44   51.2  02:12    4.0    0.0   0.00    0.9   16.0  13:59    163
 19   67.7   84.7  16:13   57.8  04:14    0.0    2.7   0.00    1.1   16.0  20:19    359
 20   71.2   88.5  15:46   52.7  07:16    0.0    6.2   0.00    0.7   13.0  02:51     44
 21   73.0   96.4  13:44   54.8  07:10    0.0    8.0   0.00    3.5   26.0  14:55    203
 22   70.9   94.2  12:44   55.4  07:26    0.0    5.9   0.00    2.9   24.0  15:06    190
 23   70.2   98.9  16:06   51.6  06:08    0.0    5.2   0.00    1.4   16.0  18:22    144
 24   69.9   93.6  14:41   54.9  06:46    0.0    4.9   0.00    1.7   18.0  15:54    185
 25   64.8   89.0  13:50   51.8  07:32    0.2    0.0   0.00    2.9   22.0  15:24    196
 26   60.7   74.5  14:56   50.6  06:41    4.3    0.0   0.00    0.9   16.0  14:06    163
 27   63.3   83.3  14:42   51.1  03:45    1.7    0.0   0.00    0.6   16.0  21:27     60
 28   64.1   76.0  15:45   55.5  02:49    0.9    0.0   0.00    1.4   17.0  08:13     12
 29   62.9   81.2  14:35   43.1  07:08    2.1    0.0   0.00    0.4   10.0  10:24     23
 30   67.5   90.8  14:54   44.9  07:08    0.0    2.5   0.00    1.1   13.0  17:33    269
---------------------------------------------------------------------------------------
      68.2  108.5     06   43.1     29   33.5  130.3   0.00    2.4   32.0     14    193
    
