                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2021


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   66.9   92.7  14:14   44.6  07:29    0.0    1.9   0.00    2.7   21.0  16:06    199
 02   67.5   94.9  15:04   45.5  06:42    0.0    2.5   0.00    0.4   11.0  17:57    153
 03   68.3   95.5  15:25   46.6  07:16    0.0    3.3   0.00    0.6   16.0  15:57    152
 04   68.0   87.9  14:32   49.0  07:20    0.0    3.0   0.00    0.3   14.0  15:15    174
 05   69.6   82.4  14:18   57.5  23:57    0.0    4.6   0.00    1.0   20.0  16:44    172
 06   61.7   79.6  14:29   49.9  07:30    3.3    0.0   0.00    0.6   21.0  14:45    163
 07   58.4   71.4  13:45   47.3  07:10    6.6    0.0   0.00    0.9   22.0  16:06    187
 08   58.8   70.0  14:45   52.0  23:25    6.2    0.0   0.00    0.9   16.0  23:55     15
 09   57.1   73.9  15:41   42.4  06:55    7.9    0.0   0.00    0.7   10.0  00:00      5
 10   60.8   79.8  15:34   42.3  07:11    4.2    0.0   0.00    0.2   10.0  12:25     10
 11   57.8   67.2  14:06   46.4  06:55    7.2    0.0   0.00    3.8   24.0  14:35    315
 12   55.9   68.9  16:23   43.3  06:23    9.1    0.0   0.00    3.5   21.0  09:38    340
 13   54.2   74.6  14:28   35.3  07:08   10.8    0.0   0.00    3.1   22.0  20:56    306
 14   59.6   79.1  16:04   45.3  07:28    5.4    0.0   0.00    2.1   11.0  00:00      3
 15   61.3   86.0  14:49   40.5  07:26    3.7    0.0   0.00    0.7   16.0  15:36     33
 16   61.5   87.4  14:08   41.5  07:13    3.5    0.0   0.00    0.6   14.0  15:34    174
 17   54.2   71.4  11:52   39.1  05:42   10.8    0.0   0.00    4.6   23.0  13:56    201
 18   53.8   64.6  16:09   42.4  07:41   11.2    0.0   0.01    3.6   20.0  01:32    334
 19   51.3   69.1  14:39   35.9  07:21   13.7    0.0   0.00    2.2   20.0  16:14    198
 20   57.7   74.3  13:58   42.6  02:57    7.3    0.0   0.00    0.6   18.0  13:22    180
 21   61.9   81.3  13:16   51.7  06:55    3.1    0.0   0.00    2.9   19.0  14:34    189
 22   58.9   68.6  14:10   50.8  07:29    6.1    0.0   0.00    3.7   17.0  15:47    215
 23   55.7   69.6  14:13   43.4  07:24    9.3    0.0   0.00    0.5   13.0  13:42     12
 24   57.2   64.1  13:33   49.1  02:29    7.8    0.0   0.01    1.4   25.0  13:03    179
 25   57.2   63.4  16:28   47.8  23:54    7.8    0.0   0.03    3.8   28.0  02:31    218
 26   52.7   66.0  17:05   41.7  07:24   12.3    0.0   0.00    1.6   10.0  14:46    345
 27   58.9   72.8  15:31   45.6  07:17    6.1    0.0   0.00    2.7   14.0  11:11     18
 28   64.6   83.2  16:13   51.9  07:50    0.4    0.0   0.00    1.6   10.0  11:45      4
 29   65.3   85.7  16:11   49.1  08:00    0.0    0.3   0.00    1.2   13.0  16:47    225
 30   58.0   71.9  15:10   48.6  06:16    7.0    0.0   0.00    0.8   10.0  11:13    159
 31   58.0   69.0  15:18   51.2  22:58    7.0    0.0   0.00    2.7   18.0  16:39    192
---------------------------------------------------------------------------------------
      59.8   95.5     03   35.3     13  177.7   15.5   0.05    1.8   28.0     25    242
    
