                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2021


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   55.8   62.0  15:48   49.2  01:44    9.2    0.0   0.00    2.8   16.0  13:17    194
 02   60.8   75.0  14:28   50.5  07:19    4.2    0.0   0.00    1.6   14.0  15:34    190
 03   62.9   76.9  15:42   53.6  01:29    2.1    0.0   0.00    0.4   11.0  11:08     29
 04   60.3   73.8  15:34   48.0  06:48    4.7    0.0   0.00    2.3   14.0  12:48    351
 05   59.8   75.3  15:52   47.9  08:07    5.2    0.0   0.00    0.4   13.0  13:04     27
 06   57.9   70.8  14:29   45.3  07:38    7.1    0.0   0.00    0.4   13.0  20:28     23
 07   55.4   66.7  14:34   46.4  23:55    9.6    0.0   0.00    1.0   20.0  10:23     22
 08   52.1   70.6  14:16   37.9  06:34   12.9    0.0   0.00    1.8   21.0  15:36    206
 09   56.0   65.2  14:39   48.5  06:29    9.0    0.0   0.05    0.1   11.0  13:09    190
 10   59.5   69.7  14:42   53.0  23:55    5.5    0.0   0.00    0.6   13.0  13:46     27
 11   58.5   72.4  13:50   46.5  06:19    6.5    0.0   0.00    0.6   16.0  10:21     41
 12   60.3   79.5  15:18   45.6  05:58    4.7    0.0   0.00    1.2   11.0  12:51    357
 13   59.8   78.8  14:42   45.1  06:52    5.2    0.0   0.01    0.3   11.0  12:15     35
 14   57.7   82.7  14:26   41.4  06:34    7.3    0.0   0.00    0.0    4.0  12:03     22
 15   56.4   81.6  14:05   39.8  06:22    8.6    0.0   0.00    0.1   11.0  14:28    182
 16   57.2   74.9  15:08   45.1  05:34    7.8    0.0   0.00    0.2    9.0  10:42     26
 17   54.3   70.2  15:22   43.5  06:14   10.7    0.0   0.00    0.8    7.0  14:25    251
 18   52.8   71.0  13:55   39.7  07:01   12.2    0.0   0.00    1.5   14.0  14:58    194
 19   54.5   67.4  15:38   46.8  01:33   10.5    0.0   0.00    1.5    9.0  00:44    341
 20   56.4   68.2  14:56   48.9  06:27    8.6    0.0   0.00    2.0   11.0  09:29      6
 21   54.5   75.3  14:10   39.7  07:27   10.5    0.0   0.00    2.6   15.0  11:45      5
 22   53.0   72.5  14:09   35.3  07:19   12.0    0.0   0.00    0.9    5.0  00:02    356
 23   51.1   70.2  14:40   33.6  07:02   13.9    0.0   0.00    2.2   14.0  11:56    346
 24   49.4   65.6  15:17   35.7  06:56   15.6    0.0   0.00    1.1    9.0  11:45    360
 25   49.7   72.2  15:32   29.8  06:44   15.3    0.0   0.00    1.5   10.0  15:21    352
 26   48.4   69.0  15:19   29.6  07:16   16.6    0.0   0.00    1.1    6.0  16:29    347
 27   53.3   76.8  15:11   33.9  07:02   11.7    0.0   0.00    1.1    9.0  13:02    353
 28   54.8   77.9  14:53   36.2  06:41   10.2    0.0   0.00    0.6    5.0  09:38      1
 29   53.9   77.1  15:14   33.9  07:16   11.1    0.0   0.00    0.9    7.0  14:25    356
 30   55.6   79.3  14:27   37.6  07:06    9.4    0.0   0.00    0.1    9.0  15:29     24
---------------------------------------------------------------------------------------
      55.7   82.7     14   29.6     26  277.7    0.0   0.06    1.1   21.0     08    355
    
