                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2022


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   40.3   55.0  14:09   29.9  06:48   24.7    0.0   0.00    1.0   10.0  11:47     22
 02   40.5   59.0  14:24   27.8  07:28   24.5    0.0   0.00    1.1    8.0  17:29    198
 03   41.0   55.5  15:04   29.7  06:41   24.0    0.0   0.00    0.9    9.0  16:00    161
 04   44.9   58.7  15:38   34.0  03:44   20.1    0.0   0.00    1.8   13.0  13:31    325
 05   50.6   61.0  15:25   45.5  07:08   14.4    0.0   0.00    3.3   12.0  08:19    358
 06   49.5   62.9  15:14   39.6  06:24   15.5    0.0   0.00    1.6   10.0  04:02      8
 07   50.0   58.7  14:47   41.7  01:06   15.0    0.0   0.01    0.6   11.0  01:12    158
 08   50.0   58.5  12:51   45.8  08:10   15.0    0.0   0.00    2.5   14.0  10:17      8
 09   47.9   65.1  15:22   36.1  08:22   17.1    0.0   0.00    1.2    8.0  00:00     53
 10   48.4   66.3  15:15   36.4  07:10   16.6    0.0   0.00    1.2   12.0  13:22     15
 11   50.2   68.6  14:53   35.8  06:13   14.8    0.0   0.00    1.5   10.0  11:29      5
 12   49.3   64.9  14:09   33.1  07:19   15.7    0.0   0.00    1.2    8.0  23:56    157
 13   50.8   63.2  14:11   43.3  07:04   14.2    0.0   0.00    1.1    8.0  00:00    348
 14   50.1   64.5  13:55   38.4  07:51   14.9    0.0   0.00    1.2   11.0  12:28      9
 15   51.1   63.6  12:34   41.1  06:49   13.9    0.0   0.00    1.4   14.0  14:37    325
 16   56.5   65.8  15:43   49.8  06:49    8.5    0.0   0.00    0.6    6.0  00:23    336
 17   52.2   61.2  14:35   43.4  05:14   12.8    0.0   0.04    1.5   10.0  15:11    189
 18   52.4   62.4  15:14   44.7  23:58   12.6    0.0   0.00    1.6   12.0  11:56    359
 19   49.5   63.8  15:18   41.9  08:38   15.5    0.0   0.00    1.4    9.0  13:58    345
 20   49.6   65.3  16:00   36.4  07:29   15.4    0.0   0.00    1.2    8.0  11:14    349
 21   48.1   63.7  15:03   36.2  07:06   16.9    0.0   0.00    1.3   10.0  13:51     14
 22   48.2   63.2  15:44   35.0  07:24   16.8    0.0   0.00    1.5    9.0  00:29    349
 23   46.7   69.3  15:47   30.6  06:50   18.3    0.0   0.00    1.0    9.0  13:09     26
 24   46.2   64.5  15:03   29.9  07:37   18.8    0.0   0.00    1.6    9.0  15:10    355
 25   46.9   65.1  15:36   30.9  07:20   18.1    0.0   0.00    1.0    9.0  13:42      4
 26   46.8   66.2  16:26   30.9  07:22   18.2    0.0   0.00    1.0    9.0  14:55     22
 27   47.6   67.8  14:53   30.3  07:03   17.4    0.0   0.00    1.2   11.0  13:37     12
 28   49.1   70.6  15:31   31.4  07:20   15.9    0.0   0.00    1.6    9.0  02:27      7
 29   47.8   65.3  14:59   38.2  06:05   17.2    0.0   0.00    1.1    9.0  12:53      4
 30   46.3   66.3  15:06   28.1  07:15   18.7    0.0   0.00    1.3    8.0  13:30    360
 31   45.5   59.1  15:27   32.5  06:59   19.5    0.0   0.00    1.7    9.0  11:46      3
---------------------------------------------------------------------------------------
      48.2   70.6     28   27.8     02  520.9    0.0   0.05    1.4   14.0     08    360
    
