                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2022


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   46.1   57.5  15:05   36.2  06:55   18.9    0.0   0.00    2.7   19.0  12:08    355
 02   43.7   62.3  15:14   26.8  07:04   21.3    0.0   0.00    2.3   15.0  12:33    360
 03   45.5   62.9  16:09   29.4  06:51   19.5    0.0   0.00    1.3   10.0  12:44      2
 04   46.8   67.0  16:18   29.3  06:50   18.2    0.0   0.00    1.3   10.0  15:00     14
 05   46.7   66.1  14:41   31.0  07:30   18.3    0.0   0.00    0.7   12.0  16:35     26
 06   48.9   70.5  15:22   30.3  07:37   16.1    0.0   0.00    1.0   10.0  14:14     21
 07   49.0   73.8  14:56   28.8  07:05   16.0    0.0   0.00    1.4   15.0  14:11    201
 08   50.8   73.3  15:48   31.0  06:20   14.2    0.0   0.00    0.8   10.0  15:01      8
 09   55.6   78.1  14:50   37.1  07:45    9.4    0.0   0.00    1.9   11.0  13:26      4
 10   57.0   78.5  16:20   36.2  07:18    8.0    0.0   0.00    1.5   10.0  02:15    347
 11   56.0   79.3  15:51   35.9  06:56    9.0    0.0   0.00    0.5   12.0  16:38     27
 12   56.4   84.3  15:27   36.2  07:02    8.6    0.0   0.00    0.0    6.0  13:59     17
 13   56.3   84.1  16:07   36.5  07:02    8.7    0.0   0.00    0.0    4.0  16:32     34
 14   52.8   75.7  13:51   36.6  07:27   12.2    0.0   0.00    1.6   16.0  13:16    209
 15   48.5   56.2  14:23   38.6  23:59   16.5    0.0   0.00    5.3   25.0  13:20    324
 16   46.5   65.2  16:32   29.6  07:07   18.5    0.0   0.00    1.7   13.0  12:20    358
 17   48.6   69.7  16:01   31.7  07:04   16.4    0.0   0.00    1.2   12.0  16:17    227
 18   49.6   72.0  16:02   31.5  07:10   15.4    0.0   0.00    1.0   11.0  13:00     20
 19   52.1   73.7  16:04   32.8  06:56   12.9    0.0   0.00    1.2    9.0  12:55      5
 20   50.7   71.0  14:40   33.2  07:06   14.3    0.0   0.00    0.3   13.0  15:16    168
 21   49.1   59.8  15:17   41.0  07:03   15.9    0.0   0.00    3.7   19.0  17:14    332
 22   42.3   49.6  17:01   33.8  06:57   22.7    0.0   0.05    3.2   26.0  12:08    315
 23   40.9   52.6  14:47   28.4  06:46   24.1    0.0   0.00    3.9   21.0  12:27    326
 24   40.8   58.0  14:45   24.2  06:50   24.2    0.0   0.00    1.8   11.0  12:36    356
 25   44.1   63.7  14:57   26.7  06:16   20.9    0.0   0.00    1.2   11.0  12:39     12
 26   45.6   63.7  14:53   27.4  07:02   19.4    0.0   0.00    1.5   10.0  15:47    351
 27   52.6   70.4  15:46   35.3  06:48   12.4    0.0   0.00    1.0   11.0  15:08    358
 28   57.0   78.3  16:03   36.2  06:59    8.0    0.0   0.00    2.4   13.0  12:09      1
---------------------------------------------------------------------------------------
      49.3   84.3     12   24.2     24  440.3    0.0   0.05    1.7   26.0     22    345
    
