                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2022


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   59.2   68.2  14:35   51.5  05:25    5.8    0.0   0.00    6.0   32.0  17:13    198
 02   60.6   77.0  14:58   50.5  04:11    4.4    0.0   0.00    1.8   16.0  16:27    195
 03   66.6   89.6  15:54   48.8  07:36    0.0    1.6   0.00    2.8   15.0  19:59    356
 04   69.5   91.7  16:46   50.2  06:59    0.0    4.5   0.00    2.2   13.0  20:13    360
 05   70.8   95.8  15:13   51.5  07:16    0.0    5.8   0.00    1.5   14.0  15:33    193
 06   71.4   95.4  15:39   51.0  07:24    0.0    6.4   0.00    2.3   17.0  15:31    232
 07   70.7   96.9  15:31   49.6  07:33    0.0    5.7   0.00    1.2   14.0  16:18    211
 08   68.9   96.6  14:48   51.1  07:37    0.0    3.9   0.00    1.3   14.0  15:38    183
 09   64.3   91.7  14:54   50.8  05:39    0.7    0.0   0.00    1.6   15.0  15:38    183
 10   63.2   88.9  14:35   50.7  06:47    1.8    0.0   0.00    1.9   18.0  15:44    180
 11   63.6   84.9  16:43   47.5  07:45    1.4    0.0   0.00    2.0   15.0  14:21    180
 12   60.9   87.2  15:17   47.7  07:38    4.1    0.0   0.00    2.6   26.0  18:42    195
 13   63.2   88.8  15:52   51.3  02:41    1.8    0.0   0.00    1.5   14.0  16:20    280
 14   62.3   89.3  14:49   47.8  07:36    2.7    0.0   0.00    2.3   25.0  17:23    197
 15   58.4   66.1  15:30   53.0  06:33    6.6    0.0   0.00    4.9   24.0  14:31    200
 16   60.8   73.9  15:17   52.8  23:59    4.2    0.0   0.00    2.7   16.0  16:54    204
 17   61.7   84.9  16:26   44.5  07:24    3.3    0.0   0.00    1.0    8.0  10:24      6
 18   68.1   90.9  15:39   49.1  06:53    0.0    3.1   0.00    1.0   11.0  14:15      7
 19   72.2   94.9  15:46   53.6  06:35    0.0    7.2   0.00    1.4   10.0  14:11      0
 20   69.7   95.6  15:09   52.2  07:20    0.0    4.7   0.00    1.4   16.0  16:36    179
 21   61.0   84.0  13:15   47.0  06:57    4.0    0.0   0.00    3.7   26.0  14:42    198
 22   56.0   65.8  14:08   47.8  02:22    9.0    0.0   0.00    4.7   24.0  14:58    207
 23   54.3   71.5  15:25   37.7  07:04   10.7    0.0   0.00    3.2   18.0  11:42    337
 24   55.9   73.6  16:10   38.3  07:33    9.1    0.0   0.00    1.3   10.0  13:47    354
 25   57.3   77.9  15:37   39.7  07:57    7.7    0.0   0.00    3.2   22.0  21:18    347
 26   55.4   70.5  16:31   40.2  06:40    9.6    0.0   0.00    4.7   20.0  14:10    342
 27   55.4   75.6  15:27   38.4  07:39    9.6    0.0   0.00    1.8   10.0  00:39    357
 28   53.0   72.8  14:57   37.6  07:03   12.0    0.0   0.00    2.0   16.0  14:05    194
 29   55.3   74.9  16:11   37.5  07:35    9.7    0.0   0.00    2.3   13.0  12:57      1
 30   58.7   78.4  15:58   40.9  07:13    6.3    0.0   0.00    2.1   10.0  00:01    358
 31   53.6   67.2  16:50   40.2  07:24   11.4    0.0   0.00    0.5    7.0  20:28    284
---------------------------------------------------------------------------------------
      62.0   96.9     07   37.5     29  135.9   43.0   0.00    2.3   32.0     01    240
