                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2023


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   52.5   68.1  17:40   38.7  07:22   12.5    0.0   0.00    3.1   17.0  21:35    354
 02   50.6   64.5  14:08   40.9  05:45   14.4    0.0   0.00    4.5   21.0  22:48    297
 03   47.5   55.5  16:12   41.2  07:20   17.5    0.0   0.00    7.6   26.0  09:56    328
 04   47.6   59.5  16:11   39.3  06:52   17.4    0.0   0.00    5.7   17.0  21:25    336
 05   49.3   63.6  15:35   35.0  06:55   15.7    0.0   0.00    3.3   13.0  21:43    353
 06   52.4   69.1  15:29   37.4  06:09   12.6    0.0   0.00    3.9   20.0  16:45    243
 07   53.8   62.8  14:34   44.8  06:53   11.2    0.0   0.00    3.1   19.0  13:30    197
 08   57.0   71.6  16:15   46.3  03:56    8.0    0.0   0.00    2.1   12.0  23:13    292
 09   62.7   78.6  17:18   46.3  06:27    2.3    0.0   0.00    2.3   10.0  00:38      8
 10   63.0   79.4  15:35   49.8  07:11    2.0    0.0   0.00    3.1   18.0  16:33    203
 11   58.2   73.1  16:44   49.2  06:04    6.8    0.0   0.00    5.1   20.0  20:38    343
 12   52.0   64.3  15:11   42.7  07:01   13.0    0.0   0.00    6.7   22.0  20:33    341
 13   51.6   66.5  17:49   39.9  06:58   13.4    0.0   0.00    3.8   15.0  12:43    344
 14   51.9   69.0  15:49   36.8  06:48   13.1    0.0   0.00    2.7   18.0  17:30    308
 15   54.3   75.2  15:18   39.1  06:00   10.7    0.0   0.00    2.3   19.0  16:16    213
 16   53.6   71.1  16:29   42.0  06:13   11.4    0.0   0.00    3.2   13.0  10:55    347
 17   53.1   69.4  16:24   41.3  06:52   11.9    0.0   0.00    3.3   15.0  11:24    335
 18   50.7   62.6  15:32   39.0  05:49   14.3    0.0   0.00    4.2   20.0  21:17    338
 19   52.0   65.4  16:23   39.0  06:38   13.0    0.0   0.00    4.1   19.0  09:49    347
 20   56.9   75.3  17:19   38.8  06:43    8.1    0.0   0.00    4.1   14.0  10:43      4
 21   63.7   80.4  17:25   44.3  06:39    1.3    0.0   0.00    4.5   17.0  21:11    352
 22   64.4   81.8  15:30   48.4  06:43    0.6    0.0   0.00    4.5   20.0  19:31    355
 23   61.6   77.3  15:23   48.4  06:36    3.4    0.0   0.00    5.4   22.0  14:23    343
 24   60.1   78.9  16:14   46.6  07:00    4.9    0.0   0.00    5.4   18.0  16:41    344
 25   61.4   83.4  17:06   43.6  06:05    3.6    0.0   0.00    2.7   12.0  05:31    358
 26   65.7   87.5  15:18   45.2  06:20    0.0    0.7   0.00    1.3   10.0  15:41    313
 27   66.6   90.8  15:24   47.5  06:37    0.0    1.6   0.00    1.7   18.0  17:15    196
 28   65.6   90.1  14:10   48.8  06:36    0.0    0.6   0.00    1.8   18.0  17:15    187
 29   66.2   89.5  14:54   49.9  06:26    0.0    1.2   0.00    1.6   13.0  16:32    173
 30   58.6   76.2  14:56   47.7  05:58    6.4    0.0   0.00    4.6   20.0  11:27    307
---------------------------------------------------------------------------------------
      56.8   90.8     27   35.0     05  249.5    4.1   0.00    3.7   26.0     03    339
