                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2023


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   51.2   60.4  13:52   43.2  06:10   13.8    0.0   0.00    3.3   20.0  17:42    223
 02   48.9   56.3  16:07   43.0  02:52   16.1    0.0   0.08    4.7   25.0  15:10    199
 03   50.0   55.8  15:32   45.2  01:54   15.0    0.0   0.04    3.5   20.0  15:11    176
 04   52.3   62.0  14:06   46.5  06:30   12.7    0.0   0.01    3.0   20.0  15:37    204
 05   52.8   63.7  14:54   41.8  06:38   12.2    0.0   0.00    2.1   15.0  16:38    222
 06   53.1   65.4  13:42   40.2  06:32   11.9    0.0   0.00    2.4   21.0  17:10    204
 07   57.9   71.6  15:28   46.4  03:33    7.1    0.0   0.00    2.3   17.0  17:09    218
 08   56.6   72.3  15:52   43.1  04:54    8.4    0.0   0.00    3.6   20.0  17:09    290
 09   53.8   63.2  14:00   45.8  06:27   11.2    0.0   0.00    3.7   23.0  18:40    204
 10   55.6   71.6  15:22   43.7  05:00    9.4    0.0   0.00    2.7   18.0  15:52    245
 11   58.5   77.1  14:38   43.8  06:47    6.5    0.0   0.00    3.4   19.0  16:40    338
 12   64.7   84.9  16:59   47.3  06:35    0.3    0.0   0.00    4.1   14.0  13:45    358
 13   71.6   96.2  16:23   50.0  06:05    0.0    6.6   0.00    2.3   14.0  16:35    314
 14   64.5   73.5  17:59   53.3  06:04    0.5    0.0   0.00    4.6   23.0  12:12    199
 15   64.3   85.5  12:54   48.2  06:22    0.7    0.0   0.00    1.7   15.0  15:18    175
 16   67.2   94.7  14:50   50.7  06:43    0.0    2.2   0.00    2.1   16.0  15:35    177
 17   72.4   96.1  16:07   51.8  06:12    0.0    7.4   0.00    2.4   14.0  17:49    356
 18   70.8   93.3  16:40   50.5  06:06    0.0    5.8   0.00    3.4   16.0  19:30    356
 19   66.7   87.7  14:04   50.3  06:25    0.0    1.7   0.00    2.3   16.0  16:09    255
 20   65.8   88.7  15:39   49.6  06:40    0.0    0.8   0.00    2.3   16.0  12:08    351
 21   65.0   91.5  14:39   51.2  06:04    0.0    0.0   0.00    2.8   17.0  16:32    275
 22   63.3   84.7  12:46   50.3  05:59    1.7    0.0   0.00    4.1   24.0  16:44    199
 23   54.2   61.5  14:50   50.2  01:22   10.8    0.0   0.00    7.6   28.0  16:01    202
 24   54.3   61.9  15:18   45.7  23:36   10.7    0.0   0.00    4.4   20.0  14:12    199
 25   55.6   65.7  13:25   45.8  01:49    9.4    0.0   0.00    5.3   24.0  13:57    204
 26   57.2   70.0  15:16   49.6  00:10    7.8    0.0   0.00    5.0   25.0  20:09    200
 27   59.3   76.7  13:44   50.8  00:48    5.7    0.0   0.00    3.3   23.0  17:19    202
 28   55.4   67.4  14:28   49.6  06:41    9.6    0.0   0.00    6.3   29.0  16:19    199
 29   55.8   62.6  13:11   51.4  02:38    9.2    0.0   0.00    4.8   22.0  13:26    202
 30   58.4   66.0  16:01   51.2  23:54    6.6    0.0   0.00    4.4   23.0  17:03    197
 31   57.7   75.5  13:29   49.2  02:23    7.3    0.0   0.00    5.3   30.0  17:34    200
---------------------------------------------------------------------------------------
      59.2   96.2     13   40.2     06  204.7   24.6   0.13    3.7   30.0     31    208
