                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2023


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   62.9   76.5  14:19   51.2  04:36    2.1    0.0   0.00    4.5   28.0  16:09    199
 02   64.9   67.9  15:05   62.8  08:25    0.1    0.0   0.00    2.5   14.0  16:01    194
 03   65.3   72.1  17:11   60.3  23:58    0.0    0.3   0.00    3.5   17.0  15:14    208
 04   67.2   85.0  16:41   52.9  05:23    0.0    2.2   0.00    2.8   21.0  21:05    350
 05   66.6   86.9  13:29   53.7  07:07    0.0    1.6   0.00    5.0   29.0  18:52    203
 06   63.0   74.4  15:16   56.3  05:42    2.0    0.0   0.00    6.2   24.0  12:57    192
 07   65.8   85.8  14:31   50.3  06:37    0.0    0.8   0.00    2.6   21.0  15:59    187
 08   69.2   89.3  14:45   49.8  07:19    0.0    4.2   0.00    2.8   22.0  15:23    205
 09   75.6   95.2  13:52   60.3  06:55    0.0   10.6   0.00    2.7   17.0  16:44    188
 10   77.8   97.8  15:58   62.5  07:26    0.0   12.8   0.00    2.6   17.0  21:15    360
 11   71.5   92.1  15:41   55.6  07:05    0.0    6.5   0.00    2.3   14.0  21:50    338
 12   65.0   84.7  13:57   53.4  05:10    0.0    0.0   0.00    2.9   19.0  17:08    198
 13   61.9   79.1  12:09   49.5  06:45    3.1    0.0   0.00    4.0   28.0  15:30    193
 14   63.0   82.0  14:55   53.5  02:17    2.0    0.0   0.00    4.2   30.0  16:48    199
 15   62.6   80.2  13:26   55.2  01:39    2.4    0.0   0.00    4.5   28.0  15:18    197
 16   62.0   72.4  13:55   57.1  01:53    3.0    0.0   0.00    4.2   23.0  18:11    194
 17   62.3   72.7  14:37   57.1  04:13    2.7    0.0   0.00    3.3   22.0  16:47    192
 18   61.1   80.0  15:06   50.1  05:58    3.9    0.0   0.00    2.5   24.0  17:41    198
 19   64.4   83.8  15:47   51.0  04:37    0.6    0.0   0.00    1.9   20.0  17:27    198
 20   60.3   70.9  14:17   55.8  03:22    4.7    0.0   0.00    7.4   32.0  18:20    195
 21   61.3   69.1  13:36   56.0  23:55    3.7    0.0   0.00    5.4   22.0  16:20    200
 22   59.3   77.3  13:15   45.0  06:51    5.7    0.0   0.00    3.5   27.0  15:40    199
 23   60.1   76.4  15:58   47.7  06:54    4.9    0.0   0.00    2.9   20.0  18:43    188
 24   59.7   77.4  14:06   46.0  06:54    5.3    0.0   0.00    3.0   23.0  14:45    195
 25   58.6   77.1  14:26   47.1  02:48    6.4    0.0   0.00    2.3   23.0  17:06    188
 26   64.3   85.0  15:48   44.9  07:00    0.7    0.0   0.00    0.9   15.0  18:22    343
 27   69.0   84.8  15:31   56.0  06:58    0.0    4.0   0.00    2.3   15.0  18:29    358
 28   67.0   85.1  16:00   53.7  07:45    0.0    2.0   0.00    3.2   19.0  20:33    355
 29   62.2   81.9  13:43   49.4  07:14    2.8    0.0   0.00    4.4   28.0  15:16    201
 30   59.8   67.9  13:04   53.0  22:00    5.2    0.0   0.00    5.4   24.0  14:09    202
---------------------------------------------------------------------------------------
      64.5   97.8     10   44.9     26   61.3   45.0   0.00    3.5   32.0     20    200
