                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2023


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   49.5   60.4  14:23   40.0  02:46   15.5    0.0   0.00    3.1   20.0  11:40    341
 02   47.7   62.6  15:32   34.0  06:57   17.3    0.0   0.00    1.1    9.0  14:03    355
 03   50.1   61.3  15:10   42.4  07:32   14.9    0.0   0.00    1.2   10.0  14:25    356
 04   53.4   67.7  14:20   44.1  06:41   11.6    0.0   0.00    1.4   12.0  11:34      0
 05   53.5   71.9  15:49   39.5  07:39   11.5    0.0   0.00    1.1    8.0  13:06      6
 06   50.4   62.8  13:09   37.9  06:25   14.6    0.0   0.00    3.1   22.0  10:50    196
 07   52.3   62.7  14:48   44.0  04:46   12.7    0.0   0.00    3.6   18.0  11:34    343
 08   47.5   60.5  15:09   39.3  07:29   17.5    0.0   0.00    2.9   14.0  12:48      2
 09   46.8   62.8  14:00   32.3  05:49   18.2    0.0   0.00    1.9   11.0  12:51      1
 10   49.8   68.4  14:06   33.7  07:38   15.2    0.0   0.00    1.5   11.0  11:41      8
 11   51.5   67.8  15:05   37.7  07:28   13.5    0.0   0.00    1.5   10.0  11:59    354
 12   48.6   65.5  15:15   34.7  07:34   16.4    0.0   0.00    1.5    9.0  13:22    353
 13   46.8   66.7  15:39   30.5  07:09   18.2    0.0   0.00    0.6    5.0  10:23    344
 14   47.3   69.7  15:39   30.3  07:41   17.7    0.0   0.00    0.5    4.0  02:13      4
 15   49.0   72.4  15:19   31.2  07:21   16.0    0.0   0.00    0.5    5.0  22:18    348
 16   49.3   70.6  15:17   31.1  07:39   15.7    0.0   0.00    0.6    6.0  10:47     17
 17   51.7   67.2  15:12   40.7  05:33   13.3    0.0   0.00    0.7    7.0  09:35    148
 18   56.4   59.3  15:53   48.8  05:01    8.6    0.0   0.67    3.3   18.0  20:48    174
 19   57.8   60.9  14:34   55.7  21:17    7.2    0.0   0.83    4.6   19.0  10:57    174
 20   53.9   57.2  10:43   50.1  23:34   11.1    0.0   1.68    3.1   18.0  11:38    168
 21   52.1   54.8  15:03   50.3  01:18   12.9    0.0   0.30    2.3   15.0  09:32    353
 22   54.2   65.2  15:51   47.9  22:23   10.8    0.0   0.00    1.0    8.0  01:25    355
 23   51.5   62.0  15:09   44.2  23:24   13.5    0.0   0.00    1.5   10.0  01:11    360
 24   47.0   59.8  14:07   39.4  05:08   18.0    0.0   0.00    0.9    9.0  14:39    356
 25   46.9   61.2  14:42   37.1  04:42   18.1    0.0   0.00    1.1    9.0  22:50    358
 26   49.4   61.9  14:13   42.7  07:19   15.6    0.0   0.00    0.9   10.0  22:17    163
 27   52.1   59.9  13:43   45.8  00:15   12.9    0.0   0.00    2.2   16.0  01:01    200
 28   55.5   67.9  14:34   47.6  07:40    9.5    0.0   0.00    1.6   14.0  14:13    200
 29   55.4   60.5  15:01   50.3  01:20    9.6    0.0   0.39    4.2   21.0  11:32    180
 30   52.7   58.3  12:39   45.8  23:44   12.3    0.0   0.74    1.7   11.0  12:00    207
 31   49.2   54.6  16:14   45.0  01:12   15.8    0.0   0.00    0.7   10.0  14:28    254
---------------------------------------------------------------------------------------
      50.9   72.4     15   30.3     14  435.7    0.0   4.61    1.8   22.0     06    309
