                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2024


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   52.7   55.9  11:39   50.2  00:24   12.3    0.0   0.61    8.7   28.0  20:43    187
 02   50.9   55.3  14:24   47.9  05:33   14.1    0.0   0.55    6.4   26.0  13:28    212
 03   49.6   58.1  13:19   42.2  06:39   15.4    0.0   0.00    3.1   18.0  15:50    226
 04   48.7   58.4  15:19   40.2  03:28   16.3    0.0   0.00    2.0   16.0  13:45    333
 05   49.5   63.9  14:03   35.3  06:56   15.5    0.0   0.00    2.9   18.0  14:57    197
 06   50.9   57.2  11:30   43.6  23:59   14.1    0.0   0.04    1.9   15.0  09:29    197
 07   50.9   59.4  15:29   42.7  00:47   14.1    0.0   0.00    3.2   17.0  20:10    328
 08   52.6   68.0  15:17   38.7  06:43   12.4    0.0   0.00    1.3   11.0  11:55      7
 09   50.5   64.7  14:38   42.5  03:27   14.5    0.0   0.00    1.9   13.0  14:45    203
 10   49.5   62.0  14:28   41.3  03:12   15.5    0.0   0.00    3.5   20.0  14:47    192
 11   49.7   61.9  15:41   38.5  06:35   15.3    0.0   0.00    3.2   20.0  16:23    198
 12   51.9   63.5  14:59   43.2  04:38   13.1    0.0   0.00    3.6   21.0  19:33    278
 13   53.1   64.9  16:29   44.0  07:00   11.9    0.0   0.00    4.3   17.0  18:00    340
 14   52.6   66.4  15:18   36.8  06:47   12.4    0.0   0.00    2.3   15.0  14:31    352
 15   51.4   69.9  15:10   34.6  07:41   13.6    0.0   0.00    2.6   17.0  17:50    202
 16   51.2   68.0  13:35   36.4  07:11   13.8    0.0   0.00    3.3   20.0  15:56    198
 17   55.6   72.6  16:47   43.1  03:36    9.4    0.0   0.00    1.6   11.0  12:31    299
 18   58.1   76.5  16:28   40.4  07:11    6.9    0.0   0.00    1.8   14.0  20:38    351
 19   60.0   77.5  16:21   42.0  07:24    5.0    0.0   0.00    2.0   19.0  21:04    348
 20   58.7   76.9  16:14   41.7  07:37    6.3    0.0   0.00    2.0   16.0  17:55    340
 21   55.9   73.0  16:34   39.7  06:51    9.1    0.0   0.00    1.9   14.0  10:38    318
 22   55.1   66.1  13:14   46.5  07:11    9.9    0.0   0.00    4.8   23.0  17:07    195
 23   50.8   58.0  13:58   43.0  23:54   14.2    0.0   0.07    3.5   25.0  15:11    217
 24   47.8   59.7  15:53   37.0  05:57   17.2    0.0   0.00    2.9   22.0  13:43    335
 25   51.0   63.7  14:33   38.8  07:02   14.0    0.0   0.00    3.0   18.0  17:30    323
 26   51.9   66.3  18:03   38.3  07:09   13.1    0.0   0.00    2.4   16.0  12:23    344
 27   51.6   65.6  14:33   42.6  03:44   13.4    0.0   0.00    4.5   23.0  15:04    195
 28   54.2   63.0  14:28   45.3  23:59   10.8    0.0   0.00    4.1   17.0  15:20    218
 29   47.1   55.2  11:57   39.7  04:36   17.9    0.0   1.27    4.9   24.0  15:57    171
 30   49.1   56.5  12:41   43.4  06:32   15.9    0.0   0.11    2.9   26.0  14:32    170
 31   51.4   63.3  13:09   42.2  07:17   13.6    0.0   0.04    2.6   17.0  15:33    219
---------------------------------------------------------------------------------------
      52.1   77.5     19   34.6     15  401.1    0.0   2.69    3.2   28.0     01    218
