                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2020


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   58.4   67.0  15:08   50.7  05:46    6.6    0.0   0.00    9.3   33.0  12:57    224
 02   60.4   71.8  15:10   52.1  01:57    4.6    0.0   0.00    6.9   29.0  15:27    219
 03   66.9   86.6  14:05   46.3  05:53    0.0    1.9   0.00    3.8   27.0  16:03    216
 04   76.2  101.9  15:37   50.5  06:15    0.0   11.2   0.00    3.0   18.0  16:26    328
 05   78.9  101.8  16:56   56.5  06:19    0.0   13.9   0.00    4.2   20.0  20:01    348
 06   72.7   94.2  16:15   53.1  06:27    0.0    7.7   0.00    5.6   23.0  21:07    344
 07   69.9   93.0  15:09   48.5  06:32    0.0    4.9   0.00    4.7   17.0  15:28    338
 08   71.4   92.2  13:15   51.6  06:19    0.0    6.4   0.00    3.4   22.0  15:29    203
 09   71.0   93.6  13:29   51.7  05:54    0.0    6.0   0.00    2.7   20.0  17:48    194
 10   77.5  100.6  14:20   54.6  06:00    0.0   12.5   0.00    2.2   19.0  16:39    197
 11   78.7   99.1  12:04   58.7  06:16    0.0   13.7   0.00    3.4   26.0  15:30    197
 12   81.2  106.2  14:01   59.2  06:24    0.0   16.2   0.00    2.3   20.0  16:29    197
 13   68.5   83.2  14:40   54.9  23:56    0.0    3.5   0.00    5.9   33.0  16:58    194
 14   59.4   71.4  14:31   52.6  04:26    5.6    0.0   0.00    7.8   33.0  16:48    198
 15   62.9   77.0  12:46   52.6  02:44    2.1    0.0   0.00    5.8   29.0  15:15    198
 16   65.9   82.5  12:59   50.2  05:56    0.0    0.9   0.00    4.0   27.0  18:02    189
 17   64.9   79.4  12:53   53.3  05:40    0.1    0.0   0.00    5.2   29.0  16:23    191
 18   68.4   87.2  13:38   53.1  06:32    0.0    3.4   0.00    4.4   30.0  16:38    194
 19   67.3   84.4  11:30   52.4  06:26    0.0    2.3   0.00    3.7   23.0  13:37    185
 20   68.4   89.7  14:53   52.6  05:44    0.0    3.4   0.00    2.5   19.0  15:28    189
 21   66.2   91.6  13:50   50.6  06:13    0.0    1.2   0.00    3.0   21.0  18:09    193
 22   60.1   73.9  14:43   50.7  06:28    4.9    0.0   0.00    6.0   31.0  17:42    192
 23   61.4   74.7  15:39   51.8  02:34    3.6    0.0   0.00    5.6   28.0  17:10    194
 24   65.0   81.9  12:02   51.7  04:10    0.0    0.0   0.00    4.0   27.0  15:24    194
 25   65.7   80.9  14:20   52.1  06:07    0.0    0.7   0.00    4.7   27.0  18:33    191
 26   68.1   85.7  13:06   53.0  06:40    0.0    3.1   0.00    5.1   31.0  15:08    197
 27   68.5   90.7  12:25   53.3  06:25    0.0    3.5   0.00    3.4   26.0  15:40    192
 28   69.7   93.3  14:01   52.4  06:14    0.0    4.7   0.00    2.4   21.0  15:45    181
 29   69.6   88.6  12:02   53.6  06:22    0.0    4.6   0.00    4.2   28.0  17:16    193
 30   71.4   99.7  14:02   54.6  06:03    0.0    6.4   0.00    2.7   21.0  17:34    182
 31   75.2  102.3  16:08   53.8  06:02    0.0   10.2   0.00    3.4   16.0  10:50    351
---------------------------------------------------------------------------------------
      68.7  106.2     12   46.3     03   27.5  142.3   0.00    4.4   33.0     01    204
    
