                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2020


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   79.0  103.7  16:11   56.3  07:37    0.0   14.0   0.00    1.5   12.0  19:24      0
 02   78.2  101.5  15:35   57.7  07:40    0.0   13.2   0.00    2.6   17.0  15:59    350
 03   76.2   98.9  16:15   55.7  07:30    0.0   11.2   0.00    2.1   15.0  19:31    354
 04   74.5  100.2  16:04   53.3  07:32    0.0    9.5   0.00    1.4   11.0  18:42    348
 05   71.3   95.9  14:31   51.9  07:13    0.0    6.3   0.00    1.8   18.0  16:47    197
 06   69.4   92.4  16:44   52.1  04:46    0.0    4.4   0.00    1.0    7.0  13:04      5
 07   66.2   92.8  15:00   47.9  07:24    0.0    1.2   0.00    1.6   19.0  15:14    205
 08   58.8   73.9  16:08   48.3  07:17    6.2    0.0   0.00    3.4   22.0  14:24    193
 09   60.7   77.6  14:34   51.6  00:23    4.3    0.0   0.00    2.3   17.0  18:13    200
 10   60.8   79.0  14:54   48.5  06:33    4.2    0.0   0.00    2.1   21.0  16:30    192
 11   68.5   85.7  15:51   59.0  01:18    0.0    3.5   0.00    3.3   14.0  01:51      3
 12   71.8   92.3  15:15   54.0  06:18    0.0    6.8   0.00    2.4   12.0  11:48      3
 13   72.4   95.8  17:09   53.2  08:05    0.0    7.4   0.00    2.1   11.0  13:07      4
 14   73.7   95.1  16:07   55.3  06:35    0.0    8.7   0.00    2.5   14.0  14:07      1
 15   75.2   96.8  16:42   56.5  07:43    0.0   10.2   0.00    1.6    8.0  13:52    349
 16   71.2   99.6  15:58   50.3  08:02    0.0    6.2   0.00    1.3   18.0  16:44    193
 17   70.3   97.2  15:21   50.4  07:55    0.0    5.3   0.00    1.5   20.0  16:26    185
 18   69.1   96.5  15:16   49.5  07:08    0.0    4.1   0.00    1.5   16.0  16:23    188
 19   66.5   93.5  15:32   45.9  07:46    0.0    1.5   0.00    1.5   12.0  15:59     28
 20   67.1   92.4  15:45   46.5  07:52    0.0    2.1   0.00    1.1    9.0  13:13      9
 21   66.1   91.0  16:15   47.6  07:27    0.0    1.1   0.00    1.1   12.0  16:46    167
 22   59.0   70.6  15:13   50.2  04:20    6.0    0.0   0.00    5.8   25.0  16:35    198
 23   61.2   73.0  13:05   54.6  07:24    3.8    0.0   0.00    2.7   17.0  18:05    194
 24   59.7   72.0  13:49   53.7  07:50    5.3    0.0   0.00    3.2   21.0  15:31    197
 25   58.4   64.3  15:41   49.0  23:43    6.6    0.0   0.00    2.8   16.0  15:31    194
 26   55.1   72.6  15:36   44.5  06:43    9.9    0.0   0.00    1.4    9.0  10:28    355
 27   53.3   76.7  16:08   35.0  07:41   11.7    0.0   0.00    1.0   11.0  16:50    235
 28   56.0   82.1  14:22   35.6  07:35    9.0    0.0   0.00    1.8   18.0  15:21    191
 29   57.0   85.1  15:36   36.8  07:38    8.0    0.0   0.00    1.1   14.0  16:14    186
 30   59.4   85.9  16:37   38.3  07:11    5.6    0.0   0.00    1.0    9.0  19:13    351
 31   61.6   88.8  16:29   38.0  07:32    3.4    0.0   0.00    1.4    9.0  12:57    355
---------------------------------------------------------------------------------------
      66.1  103.7     01   35.0     27   84.1  116.9   0.00    2.0   25.0     22    241
    
