                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2020


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   64.1   90.7  14:39   42.7  06:38    0.9    0.0   0.00    1.5   19.0  16:09    218
 02   63.8   89.1  15:03   44.1  06:51    1.2    0.0   0.00    1.0    8.0  23:05    356
 03   61.6   85.9  14:52   42.1  06:20    3.4    0.0   0.00    2.0   13.0  17:21    355
 04   61.5   85.2  15:47   41.1  06:44    3.5    0.0   0.00    1.2   11.0  12:06    357
 05   62.2   81.8  15:00   43.6  06:42    2.8    0.0   0.00    1.4   10.0  13:13      1
 06   53.8   63.1  12:41   42.6  23:43   11.2    0.0   0.00    4.8   25.0  08:54    332
 07   48.3   56.6  14:25   42.4  00:10   16.7    0.0   0.23    2.3   15.0  11:48    317
 08   47.8   58.5  12:43   37.0  23:56   17.2    0.0   0.00    4.8   22.0  10:10    264
 09   41.7   57.7  15:04   27.9  06:43   23.3    0.0   0.00    1.0   12.0  11:35      7
 10   45.0   63.5  15:12   29.1  05:52   20.0    0.0   0.00    1.4   12.0  11:37      6
 11   48.1   63.5  15:17   30.6  07:11   16.9    0.0   0.00    1.2    9.0  05:06    359
 12   50.4   70.6  14:06   34.7  07:05   14.6    0.0   0.00    1.5   14.0  15:44    185
 13   49.8   67.9  15:23   33.1  06:39   15.2    0.0   0.00    1.9   14.0  14:38    187
 14   54.9   70.1  15:04   43.2  01:43   10.1    0.0   0.00    2.0   13.0  03:51      1
 15   53.7   74.0  14:13   36.6  06:52   11.3    0.0   0.00    1.9   10.0  12:05    355
 16   56.7   81.0  15:24   39.1  07:13    8.3    0.0   0.00    1.5    9.0  10:17      3
 17   54.2   63.4  13:28   43.3  03:27   10.8    0.0   0.00    5.0   25.0  10:28    194
 18   56.8   63.8  14:20   49.6  22:43    8.2    0.0   0.04    4.3   15.0  11:12    193
 19   55.6   67.7  15:22   50.3  23:59    9.4    0.0   0.00    3.7   15.0  03:13    352
 20   50.2   64.3  12:49   38.3  06:50   14.8    0.0   0.00    1.7   10.0  01:36      2
 21   51.5   71.1  14:39   35.0  06:59   13.5    0.0   0.00    1.6   10.0  11:12      8
 22   50.6   69.3  14:26   34.1  06:47   14.4    0.0   0.00    1.8   10.0  23:28    359
 23   50.0   64.9  14:50   34.9  06:58   15.0    0.0   0.00    2.5   14.0  11:26    356
 24   50.7   69.8  15:13   35.7  07:00   14.3    0.0   0.00    1.7   11.0  13:00    358
 25   48.9   63.8  14:40   34.1  05:09   16.1    0.0   0.00    3.5   16.0  12:26    354
 26   46.6   63.2  15:00   32.7  06:53   18.4    0.0   0.00    3.2   17.0  15:59      3
 27   46.3   67.9  15:11   28.2  06:05   18.7    0.0   0.00    1.7   11.0  13:59      0
 28   46.0   69.6  14:37   26.3  07:16   19.0    0.0   0.00    1.1   11.0  13:59      9
 29   46.6   69.6  15:25   26.9  07:21   18.4    0.0   0.00    1.1    8.0  12:41      4
 30   47.9   70.1  15:13   29.3  06:40   17.1    0.0   0.00    1.3   12.0  11:24      1
---------------------------------------------------------------------------------------
      52.2   90.7     01   26.3     28  384.8    0.0   0.27    2.2   25.0     06    338
    
