                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2021


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   52.8   64.8  13:52   42.2  23:27   12.2    0.0   0.00    3.7   20.0  12:23    192
 02   49.6   65.6  13:39   35.9  07:18   15.4    0.0   0.00    2.6   19.0  14:02    275
 03   49.7   58.9  14:51   43.3  23:18   15.3    0.0   0.00    6.2   23.0  10:49    336
 04   46.9   62.6  15:06   35.7  07:42   18.1    0.0   0.00    2.1   13.0  13:31    359
 05   49.6   67.0  16:45   35.4  06:47   15.4    0.0   0.00    2.4   11.0  13:59    353
 06   52.3   71.3  14:53   35.7  07:11   12.7    0.0   0.00    1.7    9.0  13:22      3
 07   52.6   74.5  14:47   35.6  07:21   12.4    0.0   0.00    0.1    9.0  13:40     35
 08   49.0   69.0  13:19   33.7  06:56   16.0    0.0   0.00    0.9   13.0  13:46    177
 09   49.6   57.3  15:45   43.5  04:14   15.4    0.0   0.00    2.4   19.0  13:32    191
 10   52.7   65.8  15:30   43.8  03:10   12.3    0.0   0.00    3.6   31.0  20:03    319
 11   52.0   65.2  14:31   39.4  06:59   13.0    0.0   0.00    0.6    9.0  17:50    170
 12   52.8   64.6  15:58   44.1  06:20   12.2    0.0   0.01    2.1   17.0  10:38    296
 13   50.7   62.8  14:38   41.7  06:11   14.3    0.0   0.00    1.6   22.0  15:05    343
 14   51.0   61.1  14:31   42.5  05:54   14.0    0.0   0.00    6.2   21.0  15:24    332
 15   53.1   65.6  13:44   44.3  07:10   11.9    0.0   0.00    3.5   26.0  20:24    303
 16   50.9   62.4  14:28   44.3  05:26   14.1    0.0   0.00    6.6   23.0  16:30    341
 17   49.6   63.6  15:14   38.5  05:49   15.4    0.0   0.00    4.8   21.0  13:49    343
 18   48.0   68.6  14:21   30.2  06:48   17.0    0.0   0.00    2.1   18.0  15:22    205
 19   50.2   69.2  15:02   32.6  05:59   14.8    0.0   0.00    3.2   21.0  21:00    341
 20   49.8   57.9  15:17   42.3  05:40   15.2    0.0   0.00    7.3   28.0  11:12    334
 21   49.5   65.6  15:50   34.1  06:41   15.5    0.0   0.00    0.9   14.0  15:07     21
 22   52.4   72.3  15:01   34.9  06:39   12.6    0.0   0.00    0.9   15.0  15:15     34
 23   54.8   72.9  13:48   39.1  06:08   10.2    0.0   0.00    0.5   12.0  14:26     10
 24   52.7   73.7  15:13   33.4  06:41   12.3    0.0   0.00    1.5   18.0  15:25    359
 25   50.0   69.1  15:34   32.3  06:48   15.0    0.0   0.00    1.0   13.0  11:51     28
 26   51.6   70.3  15:02   36.2  06:15   13.4    0.0   0.00    5.2   22.0  23:49    343
 27   51.1   64.2  14:38   37.5  07:19   13.9    0.0   0.00    6.9   23.0  13:23    338
 28   49.7   68.9  15:22   33.7  05:14   15.3    0.0   0.00    2.8   15.0  16:17    250
---------------------------------------------------------------------------------------
      50.9   74.5     07   30.2     18  395.4    0.0   0.01    3.0   31.0     10    334
    
