                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2021


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   71.1   91.6  15:10   55.0  06:08    0.0    6.1   0.00    3.2   21.0  15:51    183
 02   72.4   97.1  13:05   51.9  05:58    0.0    7.4   0.00    2.7   24.0  14:42    182
 03   67.3   86.6  13:34   50.0  06:15    0.0    2.3   0.00    4.2   23.0  14:23    190
 04   70.3   90.8  13:47   54.4  05:15    0.0    5.3   0.00    3.1   20.0  15:23    232
 05   63.2   81.7  11:54   48.2  06:24    1.8    0.0   0.00    5.8   30.0  15:53    198
 06   55.7   63.3  15:54   47.5  06:12    9.3    0.0   0.00    8.1   30.0  10:12    204
 07   55.3   66.9  14:09   45.6  06:01    9.7    0.0   0.00    6.5   34.0  18:02    197
 08   57.4   74.2  13:03   42.9  06:15    7.6    0.0   0.00    4.8   24.0  18:07    208
 09   56.7   69.8  12:20   41.9  05:52    8.3    0.0   0.00    4.8   24.0  14:29    222
 10   60.4   80.5  17:39   41.7  05:57    4.6    0.0   0.00    4.3   20.0  19:28    344
 11   66.0   87.0  16:48   49.1  05:35    0.0    1.0   0.00    5.7   22.0  20:52    350
 12   71.9   94.2  16:19   54.4  06:14    0.0    6.9   0.00    4.9   24.0  21:32    355
 13   72.4   90.9  13:11   60.3  05:57    0.0    7.4   0.00    5.5   24.0  14:03    257
 14   71.7   91.8  15:14   57.7  05:42    0.0    6.7   0.00    4.9   20.0  20:19    328
 15   73.4   93.8  16:56   55.8  06:07    0.0    8.4   0.00    6.1   22.0  09:15    355
 16   82.2  104.3  16:15   64.1  05:41    0.0   17.2   0.00    4.3   15.0  13:12    355
 17   81.8  107.2  14:56   64.4  05:01    0.0   16.8   0.00    2.8   23.0  18:18    193
 18   77.3   92.2  13:35   60.1  05:53    0.0   12.3   0.00    5.3   31.0  12:25    196
 19   75.4   93.6  14:13   59.2  06:10    0.0   10.4   0.00    5.0   29.0  17:18    193
 20   71.7   91.4  13:47   54.8  06:11    0.0    6.7   0.00    5.9   30.0  14:24    194
 21   62.4   79.3  13:23   51.2  05:50    2.6    0.0   0.00    7.0   33.0  13:52    196
 22   62.9   77.2  13:28   54.6  00:00    2.1    0.0   0.00    7.0   29.0  14:41    199
 23   62.5   76.5  15:10   52.8  03:59    2.5    0.0   0.00    5.4   29.0  15:34    195
 24   63.6   77.6  14:00   53.9  03:25    1.4    0.0   0.00    5.0   25.0  15:58    197
 25   68.3   87.4  13:55   53.4  05:01    0.0    3.3   0.00    4.2   22.0  15:45    232
 26   77.5  104.6  15:25   53.8  05:56    0.0   12.5   0.00    3.1   19.0  20:29      3
 27   79.2  107.1  15:02   57.8  06:07    0.0   14.2   0.00    3.9   19.0  17:05    353
 28   76.5  100.4  16:08   56.1  06:23    0.0   11.5   0.00    6.5   22.0  21:45    351
 29   76.3  101.9  14:36   60.5  05:57    0.0   11.3   0.00    6.1   26.0  18:46    248
 30   70.4   84.3  14:49   58.5  06:13    0.0    5.4   0.00    5.0   26.0  13:34    189
---------------------------------------------------------------------------------------
      69.1  107.2     17   41.7     10   49.9  173.4   0.00    5.0   34.0     07    218
    
