                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2021


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   53.4   81.1  15:26   35.9  07:05   11.6    0.0   0.00    0.0    3.0  23:46    237
 02   49.8   69.6  14:43   35.7  07:11   15.2    0.0   0.00    0.7   12.0  15:01    164
 03   47.4   68.0  13:16   34.4  07:30   17.6    0.0   0.00    1.4    9.0  13:36    173
 04   47.2   56.0  16:16   43.2  23:11   17.8    0.0   0.00    1.2    9.0  23:52      5
 05   49.2   69.2  15:26   39.1  07:26   15.8    0.0   0.02    1.9   10.0  00:23    341
 06   49.4   62.7  15:20   35.4  07:18   15.6    0.0   0.00    1.4   13.0  21:53    343
 07   52.4   61.6  14:16   43.9  23:15   12.6    0.0   0.00    1.0   14.0  06:47      0
 08   49.5   64.1  13:30   37.0  06:47   15.5    0.0   0.00    0.2   15.0  14:28    165
 09   49.7   56.4  14:10   38.6  23:49   15.3    0.0   0.12    0.3   15.0  12:23    340
 10   42.8   57.0  15:25   33.2  05:04   22.2    0.0   0.00    1.5   14.0  13:02    346
 11   42.5   61.4  15:23   28.6  07:30   22.5    0.0   0.00    0.4    9.0  14:34      2
 12   42.9   59.3  13:10   26.5  06:42   22.1    0.0   0.00    2.3   14.0  12:52    185
 13   50.7   54.4  23:45   48.3  01:34   14.3    0.0   1.30   11.6   41.0  19:37    169
 14   43.5   54.8  00:41   32.5  23:59   21.5    0.0   0.86    3.5   31.0  01:02    209
 15   40.3   52.6  14:52   30.3  05:27   24.7    0.0   0.00    1.9   11.0  16:18    184
 16   49.0   55.2  12:57   41.2  23:58   16.0    0.0   0.12    5.1   21.0  05:44    205
 17   41.6   51.1  13:19   32.1  06:58   23.4    0.0   0.02    2.2   11.0  13:34     21
 18   40.8   55.9  15:03   30.5  07:38   24.2    0.0   0.00    1.0    8.0  12:12      1
 19   38.5   55.7  13:25   27.9  06:29   26.5    0.0   0.00    2.2   22.0  14:22    204
 20   41.7   51.7  14:36   33.6  02:12   23.3    0.0   0.00    0.5    7.0  14:44    156
 21   45.0   61.3  13:44   34.8  03:14   20.0    0.0   0.00    1.5   14.0  14:22    184
 22   49.4   55.3  22:05   39.7  01:47   15.6    0.0   0.69    1.8   13.0  21:15    169
 23   55.1   56.6  07:36   53.5  21:47    9.9    0.0   1.54    3.4   24.0  08:38    172
 24   51.2   58.2  12:43   44.9  22:56   13.8    0.0   0.28    2.7   15.0  14:24    294
 25   46.4   53.1  10:39   40.8  02:59   18.6    0.0   0.93    5.4   27.0  12:59    184
 26   42.7   52.4  15:38   35.6  07:42   22.3    0.0   0.02    1.7   10.0  02:55    224
 27   44.1   52.6  14:59   34.6  00:49   20.9    0.0   0.51    4.1   23.0  09:56    243
 28   42.8   50.1  14:13   36.8  01:30   22.2    0.0   0.00    1.5   11.0  11:33    176
 29   45.8   50.8  15:27   41.7  02:04   19.2    0.0   1.03    1.5   13.0  11:47    177
 30   45.7   51.5  13:10   40.7  23:56   19.3    0.0   0.01    0.5   11.0  13:37      4
 31   43.3   52.8  14:44   35.6  03:18   21.7    0.0   0.00    1.6   18.0  11:25    334
---------------------------------------------------------------------------------------
      46.2   81.1     01   26.5     12  581.3    0.0   7.45    2.1   41.0     13    190
    
