                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2022


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   60.1   81.0  16:08   41.3  07:26    4.9    0.0   0.00    2.3   11.0  12:47      1
 02   60.4   80.7  15:24   42.0  06:30    4.6    0.0   0.00    2.8   16.0  20:10    340
 03   53.1   68.3  11:49   41.2  07:03   11.9    0.0   0.00    3.3   21.0  17:57    196
 04   50.0   59.7  12:11   42.5  22:12   15.0    0.0   0.00    5.4   24.0  21:31    223
 05   44.6   53.8  12:38   34.3  06:23   20.4    0.0   0.03    3.4   23.0  14:35    315
 06   45.6   62.3  14:58   29.3  06:36   19.4    0.0   0.00    2.9   18.0  20:36    326
 07   50.5   67.6  14:46   34.2  04:02   14.5    0.0   0.00    1.9   13.0  13:39     16
 08   51.3   71.8  14:04   31.9  06:31   13.7    0.0   0.00    0.5   13.0  14:46    344
 09   51.7   73.4  14:30   33.5  06:30   13.3    0.0   0.00    3.6   24.0  20:34    300
 10   53.9   71.1  14:29   39.0  04:39   11.1    0.0   0.00    3.1   19.0  11:20    352
 11   50.9   73.5  13:32   30.8  06:27   14.1    0.0   0.00    2.1   18.0  15:09    208
 12   52.4   75.4  13:41   32.2  06:42   12.6    0.0   0.00    2.5   18.0  16:23    213
 13   53.0   71.2  16:10   37.4  06:27   12.0    0.0   0.00    3.6   22.0  16:38    330
 14   56.1   75.1  16:19   36.2  07:18    8.9    0.0   0.00    3.0   20.0  20:42    346
 15   57.8   72.2  17:16   40.7  07:21    7.2    0.0   0.00    2.1   17.0  15:42    357
 16   59.0   75.0  16:54   47.7  07:42    6.0    0.0   0.00    1.3   15.0  11:00     13
 17   57.1   76.1  17:24   40.4  06:05    7.9    0.0   0.00    1.0   15.0  19:49    349
 18   57.3   78.9  17:25   37.9  07:39    7.7    0.0   0.00    1.5    9.0  00:03    344
 19   52.3   58.5  16:39   48.8  03:48   12.7    0.0   0.09    3.4   19.0  09:07    194
 20   55.3   68.1  15:58   45.9  05:04    9.7    0.0   0.00    3.9   21.0  17:48    344
 21   57.3   77.0  16:17   39.8  07:32    7.7    0.0   0.00    3.2   18.0  19:10    359
 22   64.2   85.0  16:18   45.3  07:12    0.8    0.0   0.00    0.4   12.0  12:18     19
 23   65.1   87.0  14:59   45.9  07:16    0.0    0.1   0.00    1.7   19.0  15:05    198
 24   64.1   88.0  14:49   44.9  06:56    0.9    0.0   0.00    0.8   17.0  15:13    185
 25   62.9   87.1  15:15   46.6  07:13    2.1    0.0   0.00    0.5   16.0  16:46    166
 26   59.9   79.0  13:24   44.8  07:25    5.1    0.0   0.00    0.7   17.0  15:10    198
 27   53.0   60.7  16:19   47.0  04:14   12.0    0.0   0.00    7.3   29.0  14:49    193
 28   51.6   56.0  01:13   46.9  23:23   13.4    0.0   1.18    3.9   25.0  00:20    183
 29   52.8   68.7  16:59   39.5  06:51   12.2    0.0   0.02    0.7   16.0  17:12    345
 30   54.0   67.6  15:55   46.5  23:54   11.0    0.0   0.00    4.7   18.0  19:29    338
 31   54.6   69.9  17:44   44.4  02:57   10.4    0.0   0.00    2.1   15.0  22:42    354
---------------------------------------------------------------------------------------
      55.2   88.0     24   29.3     06  303.4    0.1   1.32    2.6   29.0     27    305
    
