                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2022


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   74.7   95.2  16:36   52.0  05:59    0.0    9.7   0.00    1.1   16.0  17:32      6
 02   74.4   94.3  14:24   54.4  06:03    0.0    9.4   0.00    1.2   19.0  22:46    356
 03   68.5   86.8  13:05   55.3  05:23    0.0    3.5   0.00    1.0   20.0  16:51    138
 04   66.2   83.0  15:57   53.6  01:58    0.0    1.2   0.00    0.7   20.0  16:51    161
 05   70.2   84.4  13:18   53.3  06:00    0.0    5.2   0.00    0.9   19.0  16:30    166
 06   73.7   91.0  15:33   62.6  04:21    0.0    8.7   0.00    1.5   20.0  09:11    360
 07   73.9   96.6  16:05   53.2  06:14    0.0    8.9   0.00    2.1   20.0  18:04    353
 08   73.7   95.1  16:25   52.7  06:16    0.0    8.7   0.00    2.4   18.0  19:03      2
 09   77.1   95.3  13:59   56.1  06:08    0.0   12.1   0.00    1.5   19.0  19:51      8
 10   84.7  105.5  15:55   63.4  06:00    0.0   19.7   0.00    1.3   17.0  19:48    354
 11   85.6  103.7  16:47   68.1  06:07    0.0   20.6   0.00    1.8   18.0  22:25      4
 12   76.4   92.4  12:53   62.5  05:57    0.0   11.4   0.00    1.0   23.0  17:27    172
 13   68.9   86.8  16:21   52.4  05:55    0.0    3.9   0.00    1.8   18.0  09:26      4
 14   72.3   94.2  16:23   52.1  06:01    0.0    7.3   0.00    1.6   17.0  17:39     10
 15   76.8  100.1  16:02   55.0  06:17    0.0   11.8   0.00    1.7   17.0  19:36     11
 16   71.6   92.4  13:54   55.1  23:56    0.0    6.6   0.00    1.3   17.0  16:51     35
 17   59.8   71.4  14:29   52.1  03:13    5.2    0.0   0.00    1.1   19.0  15:56    162
 18   61.1   78.6  15:41   44.6  05:58    3.9    0.0   0.00    2.8   20.0  21:43    348
 19   66.1   85.9  16:21   47.9  05:51    0.0    1.1   0.00    4.7   25.0  21:17    339
 20   74.7   96.1  16:40   52.1  05:56    0.0    9.7   0.00    3.3   14.0  20:36      0
 21   75.5   98.6  13:44   57.6  06:01    0.0   10.5   0.00    5.1   33.0  17:28    200
 22   76.1   99.8  13:30   54.9  06:33    0.0   11.1   0.00    3.9   28.0  17:07    201
 23   78.4   94.9  13:15   60.1  05:44    0.0   13.4   0.00    3.1   21.0  14:45    197
 24   78.7   98.2  15:25   59.2  05:55    0.0   13.7   0.00    3.2   23.0  16:11    205
 25   78.7   98.7  17:43   59.3  06:12    0.0   13.7   0.00    3.0   23.0  13:56    196
 26   80.3  103.5  17:48   56.8  06:23    0.0   15.3   0.00    2.7   18.0  14:41    236
 27   81.9  107.2  15:39   57.9  06:05    0.0   16.9   0.00    2.4   18.0  17:51    349
 28   82.6  104.9  15:34   60.9  06:18    0.0   17.6   0.00    3.9   19.0  16:30    349
 29   75.0   89.3  15:15   59.4  23:59    0.0   10.0   0.00    5.5   28.0  14:06    197
 30   65.7   86.2  15:22   48.3  05:57    0.0    0.7   0.00    3.8   25.0  16:13    191
---------------------------------------------------------------------------------------
      74.1  107.2     27   44.6     18    9.1  282.2   0.00    2.4   33.0     21    319
