                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2022


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   78.9   95.1  13:31   68.9  06:11    0.0   13.9   0.00    4.2   30.0  15:40    193
 02   76.9   91.3  13:01   67.2  06:03    0.0   11.9   0.00    4.7   28.0  16:44    194
 03   78.5  103.7  14:44   62.4  06:34    0.0   13.5   0.00    2.9   21.0  16:15    190
 04   74.5   91.9  13:14   65.9  06:46    0.0    9.5   0.00    5.3   29.0  18:02    191
 05   69.6   84.3  12:02   58.8  23:44    0.0    4.6   0.00    5.6   32.0  14:24    190
 06   68.4   85.4  13:11   56.4  03:21    0.0    3.4   0.00    4.6   24.0  18:16    208
 07   73.2   93.6  14:25   57.5  06:20    0.0    8.2   0.00    4.6   20.0  15:39    339
 08   73.3   97.6  14:47   58.0  06:25    0.0    8.3   0.00    4.7   20.0  16:10    325
 09   73.1   89.2  15:41   61.5  06:56    0.0    8.1   0.00    4.4   22.0  17:49    216
 10   72.0   92.4  13:56   56.8  06:39    0.0    7.0   0.00    4.1   21.0  19:07    207
 11   72.8   96.4  14:11   53.6  06:35    0.0    7.8   0.00    3.2   20.0  15:13    198
 12   76.1  100.8  15:52   58.9  06:31    0.0   11.1   0.00    4.7   17.0  17:02      0
 13   77.3  102.2  15:58   57.9  06:16    0.0   12.3   0.00    4.5   18.0  18:55    356
 14   76.3  101.1  15:24   56.3  06:16    0.0   11.3   0.00    3.2   17.0  15:33      4
 15   76.5  103.7  14:27   55.4  06:45    0.0   11.5   0.00    2.4   17.0  16:58    185
 16   77.2  103.4  13:37   57.5  06:38    0.0   12.2   0.00    4.5   31.0  15:51    197
 17   77.8   96.7  13:35   62.2  06:45    0.0   12.8   0.00    4.4   27.0  18:20    197
 18   76.5   99.9  13:55   58.1  06:44    0.0   11.5   0.00    2.2   18.0  14:38    178
 19   78.8  105.0  16:15   57.4  07:00    0.0   13.8   0.00    3.5   16.0  15:11    356
 20   70.5   87.0  11:45   55.6  06:51    0.0    5.5   0.00    5.9   34.0  14:34    207
 21   65.8   77.8  15:54   54.3  06:52    0.0    0.8   0.00    5.7   31.0  14:35    196
 22   74.2   99.2  16:02   53.8  04:22    0.0    9.2   0.00    5.1   25.0  19:04    338
 23   79.4  104.1  15:22   61.1  06:38    0.0   14.4   0.00    3.5   16.0  16:18      7
 24   73.6   91.9  12:52   57.9  06:56    0.0    8.6   0.00    4.5   30.0  15:51    202
 25   71.6   89.9  13:37   55.4  06:19    0.0    6.6   0.00    3.7   24.0  14:20    190
 26   71.4   93.7  13:39   54.1  07:03    0.0    6.4   0.00    3.5   26.0  15:04    191
 27   67.3   81.2  12:21   55.3  06:53    0.0    2.3   0.00    6.0   29.0  16:47    200
 28   62.3   73.4  15:39   52.2  06:12    2.7    0.0   0.00    5.7   29.0  19:00    188
 29   64.9   80.9  13:05   50.1  06:45    0.1    0.0   0.00    4.1   30.0  17:04    198
 30   69.1   92.8  14:53   50.9  06:55    0.0    4.1   0.00    2.7   19.0  15:22    183
 31   77.2  106.9  15:54   52.9  06:39    0.0   12.2   0.00    2.7   16.0  16:53      0
---------------------------------------------------------------------------------------
      73.4  106.9     31   50.1     29    2.8  262.9   0.00    4.2   34.0     20    205
