                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2022


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   47.3   55.1  11:17   40.0  03:16   17.7    0.0   0.98    4.8   27.0  11:19    187
 02   45.7   51.9  14:09   40.8  06:37   19.3    0.0   0.04    2.0   11.0  08:26    357
 03   53.7   60.4  14:05   46.3  00:00   11.3    0.0   1.11    4.7   25.0  14:53    173
 04   52.9   58.6  14:47   43.5  23:59   12.1    0.0   0.21    3.4   18.0  01:45    197
 05   47.4   57.7  13:29   41.0  06:57   17.6    0.0   0.07    1.1    9.0  14:44    219
 06   44.4   51.7  13:46   36.2  23:58   20.6    0.0   0.17    1.5   15.0  15:04    188
 07   42.2   55.2  15:30   35.7  00:16   22.8    0.0   0.01    0.5    5.0  04:28    217
 08   40.7   50.6  15:21   34.1  02:22   24.3    0.0   0.00    1.0    7.0  18:27    200
 09   47.0   61.0  13:20   34.5  04:35   18.0    0.0   0.00    2.3   15.0  19:50    195
 10   53.3   56.6  20:51   49.5  00:06   11.7    0.0   1.92    9.6   39.0  17:48    176
 11   47.3   53.6  00:04   42.3  23:15   17.7    0.0   0.43    4.7   27.0  01:51    210
 12   44.4   51.3  13:57   37.0  23:59   20.6    0.0   0.09    3.1   16.0  12:24    326
 13   40.2   53.0  15:14   32.4  04:09   24.8    0.0   0.00    0.7    9.0  12:36    356
 14   41.7   55.0  15:02   31.0  06:40   23.3    0.0   0.00    1.0    8.0  10:19      7
 15   43.3   56.2  14:13   32.9  06:54   21.7    0.0   0.00    0.8    9.0  11:48      2
 16   42.5   56.5  15:45   32.7  06:43   22.5    0.0   0.00    0.5    5.0  08:19    170
 17   38.6   53.8  15:26   28.3  07:21   26.4    0.0   0.00    0.7    8.0  13:00     46
 18   39.9   58.5  14:58   26.0  07:19   25.1    0.0   0.00    0.8    5.0  05:20     98
 19   42.2   60.1  14:59   27.4  06:52   22.8    0.0   0.00    1.0    8.0  11:22    184
 20   45.0   57.8  15:00   38.6  04:45   20.0    0.0   0.00    1.1   13.0  13:29    354
 21   45.9   61.7  15:02   34.7  07:50   19.1    0.0   0.00    1.3    8.0  13:04    347
 22   49.2   64.3  15:05   39.2  04:26   15.8    0.0   0.00    1.3    9.0  05:27    350
 23   49.2   64.9  15:45   37.9  05:48   15.8    0.0   0.00    0.7    8.0  12:33      7
 24   49.3   65.8  14:05   39.2  06:42   15.7    0.0   0.00    1.1   11.0  15:09      3
 25   51.3   68.1  14:57   38.4  07:37   13.7    0.0   0.00    1.4   10.0  03:01    347
 26   52.4   65.5  14:53   38.7  08:03   12.6    0.0   0.00    1.3   10.0  09:25    176
 27   55.0   61.0  01:43   51.5  23:43   10.0    0.0   0.91    5.1   18.0  18:06    191
 28   49.0   57.4  15:43   43.0  07:28   16.0    0.0   0.00    2.7   15.0  09:08    349
 29   49.6   52.7  12:39   46.7  06:15   15.4    0.0   0.04    1.5   15.0  11:39    198
 30   55.6   59.2  12:08   51.5  00:00    9.4    0.0   0.03    5.2   18.0  11:07    189
 31   54.9   57.7  11:50   49.3  22:55   10.1    0.0   1.36    7.1   36.0  13:19    183
---------------------------------------------------------------------------------------
      47.1   68.1     25   26.0     18  553.8    0.0   7.37    2.4   39.0     10    192
