                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2023


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   48.5   57.0  14:22   39.1  23:55   16.5    0.0   0.00    2.7   15.0  18:17    321
 02   42.5   49.4  16:43   36.0  06:34   22.5    0.0   0.05    1.9   15.0  18:55    177
 03   49.9   57.7  13:58   43.2  07:08   15.1    0.0   0.00    1.9   15.0  02:56    198
 04   52.4   59.1  09:10   44.2  01:44   12.6    0.0   0.88    6.8   32.0  14:11    166
 05   51.3   56.9  11:42   40.8  23:16   13.7    0.0   0.58    7.3   35.0  02:49    197
 06   44.0   57.2  15:14   36.6  02:59   21.0    0.0   0.01    0.8    8.0  16:27    317
 07   48.2   59.9  13:06   39.3  02:54   16.8    0.0   0.15    4.1   22.0  14:20    190
 08   54.4   59.3  15:06   50.3  02:46   10.6    0.0   0.39    4.4   26.0  23:05    173
 09   57.7   60.5  08:46   56.1  23:25    7.3    0.0   3.69    9.8   47.0  08:42    180
 10   51.5   56.7  00:15   46.8  21:55   13.5    0.0   0.62    6.5   34.0  04:09    200
 11   51.7   56.8  15:48   47.3  00:09   13.3    0.0   0.01    2.0   22.0  12:37    174
 12   50.5   64.6  13:44   41.0  07:21   14.5    0.0   0.00    1.4   17.0  14:32    208
 13   50.4   57.0  13:10   42.9  05:56   14.6    0.0   0.10    3.0   21.0  12:53    178
 14   53.2   56.5  16:15   47.4  22:43   11.8    0.0   1.37    4.6   25.0  10:58    184
 15   47.5   51.9  12:33   44.7  05:57   17.5    0.0   0.40    2.9   26.0  23:23    185
 16   47.6   53.2  11:33   38.5  22:41   17.4    0.0   0.30    6.1   35.0  03:27    208
 17   43.2   53.4  15:08   36.5  05:53   21.8    0.0   0.00    1.6   14.0  14:26    327
 18   42.0   56.2  16:02   32.8  07:52   23.0    0.0   0.00    0.6    8.0  13:55    323
 19   43.7   53.3  15:17   35.8  02:39   21.3    0.0   0.06    3.2   19.0  14:18    334
 20   41.4   54.4  15:09   31.3  07:30   23.6    0.0   0.00    1.0   11.0  12:14    356
 21   42.4   57.0  15:19   30.4  07:25   22.6    0.0   0.00    1.0    7.0  07:00    359
 22   41.3   56.8  15:14   31.8  07:12   23.7    0.0   0.00    0.9   12.0  15:00     18
 23   41.3   55.7  15:50   29.4  07:18   23.7    0.0   0.00    1.2   12.0  14:10    355
 24   43.0   61.7  16:11   28.8  07:35   22.0    0.0   0.00    0.7    6.0  09:14     31
 25   44.6   64.2  13:59   30.1  07:43   20.4    0.0   0.00    0.9   10.0  12:52     26
 26   47.4   65.3  16:15   31.7  07:14   17.6    0.0   0.00    1.3   10.0  14:24      3
 27   46.3   63.5  15:12   31.3  07:30   18.7    0.0   0.00    1.1    9.0  14:44    352
 28   47.3   60.3  15:53   40.3  08:36   17.7    0.0   0.00    2.3   13.0  20:23    347
 29   46.1   52.0  13:36   40.9  23:53   18.9    0.0   0.00    3.7   24.0  14:52    209
 30   44.5   56.3  14:50   37.7  07:47   20.5    0.0   0.05    2.1   13.0  13:49    355
 31   42.7   58.8  16:12   30.6  05:38   22.3    0.0   0.00    1.5   10.0  11:50    353
---------------------------------------------------------------------------------------
      47.0   65.3     26   28.8     24  556.6    0.0   8.66    2.9   47.0     09    193
