                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2023


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   42.8   63.2  15:53   27.7  06:38   22.2    0.0   0.00    1.2   11.0  15:56    184
 02   44.9   64.2  15:18   29.2  07:21   20.1    0.0   0.00    2.1   20.0  14:49    200
 03   49.9   64.7  13:30   39.2  07:41   15.1    0.0   0.00    1.7   15.0  14:33    194
 04   49.9   66.2  13:33   36.6  04:01   15.1    0.0   0.14    3.2   20.0  15:33    190
 05   50.2   57.7  13:18   43.7  21:59   14.8    0.0   0.04    4.8   19.0  22:51    294
 06   45.7   57.8  16:38   36.8  05:44   19.3    0.0   0.00    1.9   11.0  14:34    355
 07   46.8   59.5  15:48   36.2  06:36   18.2    0.0   0.00    1.8    9.0  01:32    345
 08   50.5   65.9  15:01   37.1  05:55   14.5    0.0   0.00    1.8   10.0  09:46    354
 09   52.8   69.2  15:21   37.7  07:31   12.2    0.0   0.00    1.8    9.0  03:28    347
 10   49.1   66.3  14:06   36.4  07:21   15.9    0.0   0.00    2.6   22.0  15:38    200
 11   44.0   53.2  13:11   33.4  06:38   21.0    0.0   0.00    3.7   20.0  14:49    316
 12   45.7   59.7  15:11   34.8  04:50   19.3    0.0   0.00    2.0   14.0  13:17    359
 13   44.8   55.1  12:33   32.8  07:30   20.2    0.0   0.00    5.1   28.0  14:43    203
 14   45.3   52.9  14:34   39.4  23:58   19.7    0.0   0.00    7.0   26.0  14:00    330
 15   42.4   56.8  14:52   28.8  07:16   22.6    0.0   0.00    1.5   14.0  10:27     21
 16   41.8   59.3  14:54   26.3  06:42   23.2    0.0   0.00    2.1   14.0  15:15    223
 17   43.1   62.0  14:23   28.1  07:22   21.9    0.0   0.00    1.0   14.0  14:11     37
 18   46.6   67.2  15:34   28.6  07:13   18.4    0.0   0.00    1.2   10.0  13:55      4
 19   48.5   68.4  15:15   31.3  07:20   16.5    0.0   0.00    1.5   10.0  12:23      9
 20   49.9   69.8  16:03   32.4  07:05   15.1    0.0   0.00    1.2   11.0  10:29     11
 21   46.5   61.8  12:42   34.9  06:54   18.5    0.0   0.00    4.0   30.0  17:39    312
 22   43.1   51.6  15:24   35.5  22:54   21.9    0.0   0.00    5.2   23.0  11:52    272
 23   40.0   48.1  13:02   33.8  04:30   25.0    0.0   0.23    5.7   23.0  12:48    194
 24   42.1   47.0  11:30   32.6  23:44   22.9    0.0   1.66    4.2   29.0  06:32    180
 25   37.7   44.8  14:04   32.7  00:00   27.3    0.0   0.26    0.9   15.0  14:35    330
 26   42.3   51.3  12:33   32.3  07:03   22.7    0.0   0.05    3.4   22.0  14:00    183
 27   45.1   50.7  12:33   38.4  23:58   19.9    0.0   0.48    5.9   35.0  14:18    197
 28   44.1   52.1  12:13   36.8  01:35   20.9    0.0   0.33    5.5   27.0  22:30    195
---------------------------------------------------------------------------------------
      45.6   69.8     20   26.3     16  544.4    0.0   3.19    3.0   35.0     27    235
