                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2023


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   43.0   49.9  15:53   35.6  06:51   22.0    0.0   0.02    5.8   27.0  09:56    323
 02   43.3   58.0  16:42   29.5  06:40   21.7    0.0   0.00    1.3   14.0  11:36      1
 03   47.1   60.6  15:24   35.9  02:04   17.9    0.0   0.00    2.8   14.0  10:40    350
 04   44.3   51.7  14:30   35.1  04:38   20.7    0.0   0.11    4.1   22.0  15:01    200
 05   46.2   54.3  14:01   40.0  21:36   18.8    0.0   0.14    4.5   21.0  12:19    210
 06   44.1   53.8  16:45   36.8  06:05   20.9    0.0   0.03    1.4   17.0  12:48    246
 07   43.2   57.2  15:00   30.9  06:15   21.8    0.0   0.00    2.0   15.0  21:02    326
 08   43.3   57.8  15:42   31.5  06:16   21.7    0.0   0.00    1.1    9.0  15:14    188
 09   45.9   60.7  12:45   36.2  06:03   19.1    0.0   0.34    5.2   25.0  14:20    184
 10   55.7   58.8  13:24   51.4  00:08    9.3    0.0   1.69    6.3   24.0  04:24    182
 11   56.2   61.6  13:19   53.4  23:48    8.8    0.0   0.03    6.7   21.0  09:36    199
 12   55.9   61.4  14:21   51.6  22:57    9.1    0.0   0.00    4.9   20.0  14:00    202
 13   55.8   66.1  15:30   47.5  04:34    9.2    0.0   0.02    4.2   20.0  16:42    193
 14   55.5   57.8  13:37   53.4  05:55    9.5    0.0   1.70    5.8   30.0  13:49    176
 15   51.9   60.9  16:49   46.1  07:29   13.1    0.0   0.02    4.6   18.0  03:52    330
 16   50.6   62.9  14:30   41.8  05:18   14.4    0.0   0.00    3.1   21.0  18:14    214
 17   51.9   65.6  17:19   41.4  02:58   13.1    0.0   0.00    1.8   11.0  11:20    355
 18   54.4   67.9  13:37   41.5  07:43   10.6    0.0   0.00    3.1   15.0  21:01    193
 19   52.5   58.4  13:32   48.4  06:37   12.5    0.0   0.11    8.7   32.0  13:53    191
 20   51.8   59.4  13:28   48.0  06:04   13.2    0.0   0.00    4.9   25.0  17:19    199
 21   48.0   53.2  13:20   44.0  15:02   17.0    0.0   1.12    7.6   44.0  12:23    186
 22   47.7   52.6  12:58   44.0  06:37   17.3    0.0   0.31    5.5   23.0  13:04    186
 23   49.5   56.9  15:03   44.3  23:54   15.5    0.0   0.01    4.6   20.0  13:42    327
 24   47.5   57.0  16:06   39.1  04:00   17.5    0.0   0.00    5.8   30.0  08:27    332
 25   47.5   57.9  16:40   39.4  07:11   17.5    0.0   0.00    6.2   22.0  18:14    335
 26   47.6   58.6  16:56   38.8  06:58   17.4    0.0   0.00    4.8   20.0  08:52    347
 27   48.0   65.7  15:10   32.7  06:56   17.0    0.0   0.00    3.4   21.0  15:33    259
 28   46.4   59.3  14:50   33.2  06:29   18.6    0.0   0.70    4.5   35.0  14:13    190
 29   45.7   52.7  16:03   40.0  07:06   19.3    0.0   0.31    4.4   27.0  14:03    199
 30   46.9   58.1  17:21   38.9  04:24   18.1    0.0   0.04    3.5   17.0  18:41    315
 31   48.5   62.9  15:36   36.1  06:07   16.5    0.0   0.00    2.5   18.0  16:50    225
---------------------------------------------------------------------------------------
      48.9   67.9     18   29.5     02  499.1    0.0   6.70    4.4   44.0     21    216
