                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2024


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   55.2   70.3  16:11   44.3  05:31    9.8    0.0   0.00    1.9   14.0  18:38    328
 02   57.4   75.4  15:21   41.7  06:58    7.6    0.0   0.00    1.5   13.0  15:55    187
 03   51.8   68.5  12:35   44.2  06:42   13.2    0.0   0.00    5.2   30.0  14:49    201
 04   46.5   52.2  15:01   41.2  21:00   18.5    0.0   0.48    5.0   30.0  14:40    204
 05   43.5   53.2  15:19   37.0  23:36   21.5    0.0   0.13    3.5   23.0  11:13    248
 06   45.8   61.7  17:11   31.0  06:40   19.2    0.0   0.00    2.1   16.0  22:22    336
 07   50.0   61.8  15:50   36.7  07:12   15.0    0.0   0.00    4.4   16.0  14:09    340
 08   53.3   69.7  17:06   38.4  07:05   11.7    0.0   0.00    3.2   13.0  12:38    357
 09   58.1   75.8  15:28   39.9  06:13    6.9    0.0   0.00    1.8   12.0  21:22    357
 10   62.9   82.9  17:34   44.2  06:51    2.1    0.0   0.00    1.2   10.0  18:09      1
 11   64.2   86.4  16:14   46.7  06:52    0.8    0.0   0.00    1.7   16.0  17:28    196
 12   52.4   57.3  00:00   45.7  06:32   12.6    0.0   0.00    6.7   28.0  22:18    195
 13   48.3   55.0  00:00   41.4  14:05   16.7    0.0   1.17    4.5   28.0  01:18    178
 14   51.9   61.9  15:23   45.2  00:04   13.1    0.0   0.58    2.9   14.0  16:02    220
 15   54.0   66.5  16:07   41.2  06:48   11.0    0.0   0.00    2.0   15.0  01:48    356
 16   59.8   76.2  16:41   43.8  06:51    5.2    0.0   0.00    2.7   13.0  11:20     10
 17   64.4   81.6  16:02   48.5  07:04    0.6    0.0   0.00    1.9   10.0  14:07    356
 18   60.7   78.3  13:24   50.5  06:41    4.3    0.0   0.00    3.6   29.0  16:47    196
 19   55.3   67.6  13:55   48.0  04:10    9.7    0.0   0.00    2.7   18.0  17:03    189
 20   60.9   79.4  15:46   44.5  05:35    4.1    0.0   0.00    3.6   20.0  19:25    344
 21   65.7   83.4  17:21   46.7  06:50    0.0    0.7   0.00    3.0   12.0  09:30      1
 22   55.7   67.9  12:19   49.3  06:45    9.3    0.0   0.00    7.2   32.0  14:05    198
 23   53.3   61.1  16:20   45.7  23:55   11.7    0.0   0.00    4.9   19.0  17:38    203
 24   51.5   61.3  16:31   41.6  05:44   13.5    0.0   0.00    3.1   20.0  15:16    201
 25   57.3   67.0  16:49   51.5  06:01    7.7    0.0   0.00    3.1   17.0  15:44    308
 26   56.9   68.6  16:12   49.6  23:25    8.1    0.0   0.00    4.4   21.0  15:24    333
 27   56.8   72.4  16:20   45.0  04:49    8.2    0.0   0.00    3.8   23.0  21:44    336
 28   58.6   76.0  16:23   45.1  06:11    6.4    0.0   0.00    5.1   20.0  18:56    343
 29   59.2   76.0  16:39   45.5  06:10    5.8    0.0   0.00    5.4   21.0  17:21    342
 30   58.9   78.3  16:20   41.9  06:48    6.1    0.0   0.00    4.8   22.0  18:07    346
---------------------------------------------------------------------------------------
      55.7   86.4     11   31.0     06  280.2    0.7   2.36    3.6   32.0     22    273
