                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2024


NAME: Olivehill                  
ELEV: 890 feet    LAT: 35-36.00 N    LONG: 120-42.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   61.0   80.0  16:52   42.5  06:31    4.0    0.0   0.00    4.5   17.0  11:12    352
 02   61.8   81.8  15:53   42.0  06:22    3.2    0.0   0.00    3.9   20.0  20:24    345
 03   61.9   80.1  15:03   48.7  03:44    3.1    0.0   0.00    3.6   18.0  16:33    334
 04   51.1   57.3  13:52   44.3  23:59   13.9    0.0   0.07    4.5   27.0  13:56    204
 05   50.6   64.1  17:26   38.7  05:24   14.4    0.0   0.00    4.4   21.0  10:59    331
 06   55.6   73.9  17:53   38.8  06:12    9.4    0.0   0.00    3.6   20.0  22:10    351
 07   59.9   77.0  16:56   45.2  06:35    5.1    0.0   0.00    5.4   17.0  09:00    351
 08   62.6   80.1  17:03   43.7  06:12    2.4    0.0   0.00    2.4   14.0  10:45    358
 09   61.8   79.4  14:39   43.6  06:11    3.2    0.0   0.00    2.6   19.0  17:50    202
 10   64.5   86.7  14:06   44.9  06:17    0.5    0.0   0.00    1.9   18.0  16:23    226
 11   66.9   88.2  14:12   47.4  06:29    0.0    1.9   0.00    2.2   20.0  14:40    209
 12   65.6   88.7  14:06   49.6  06:19    0.0    0.6   0.00    2.4   18.0  15:50    189
 13   59.3   77.1  12:09   48.2  04:56    5.7    0.0   0.00    2.6   19.0  14:09    171
 14   58.4   76.8  12:39   46.8  03:52    6.6    0.0   0.00    3.3   20.0  16:26    188
 15   58.3   73.0  13:57   47.6  03:44    6.7    0.0   0.00    4.7   24.0  19:17    198
 16   58.7   77.5  14:51   51.0  04:54    6.3    0.0   0.00    0.3   11.0  00:00    207
 17   56.2   65.7  15:13   51.2  23:59    8.8    0.0   0.00    0.0    0.0  00:00    N/A
 18   55.4   63.5  15:55   50.1  01:45    9.6    0.0   0.00    0.0    0.0  00:00    N/A
 19   56.7   70.6  14:01   49.3  23:54    8.3    0.0   0.00    0.0    0.0  00:00    N/A
 20   52.8   62.1  15:10   47.6  23:58   12.2    0.0   0.00    5.0   25.0  16:28    193
 21   61.9   82.2  14:08   43.1  05:04    3.1    0.0   0.00    2.5   19.0  15:06    213
 22   60.6   78.8  14:10   45.9  06:08    4.4    0.0   0.00    3.7   24.0  16:03    192
 23   56.6   72.5  13:14   47.3  02:09    8.4    0.0   0.00    5.3   25.0  15:52    202
 24   53.8   64.5  14:11   45.6  03:08   11.2    0.0   0.00    5.9   26.0  17:04    206
 25   57.7   71.5  13:22   46.9  00:58    7.3    0.0   0.00    5.4   26.0  15:31    232
 26   59.1   78.0  13:25   45.6  06:00    5.9    0.0   0.00    4.4   24.0  16:11    214
 27   60.4   79.8  12:34   45.2  05:02    4.6    0.0   0.00    3.5   22.0  15:36    197
 28   62.8   82.6  13:27   46.5  03:01    2.2    0.0   0.00    3.5   20.0  15:07    321
 29   67.2   88.2  15:52   48.0  05:44    0.0    2.2   0.00    3.3   15.0  19:27    343
 30   71.3   91.2  15:15   50.4  06:20    0.0    6.3   0.00    2.5   19.0  16:10    250
 31   67.1   88.9  12:44   50.0  06:16    0.0    2.1   0.00    3.1   22.0  15:20    192
---------------------------------------------------------------------------------------
      59.9   91.2     30   38.7     05  170.6   13.2   0.07    3.2   27.0     04    232
